Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;7;50;67,09;34,17
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;8;40;46,73;16,83
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;9;40;42,56;6,39
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;10;35;42,34;20,97
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;11;40;43,98;9,95
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;12;40;38,93;2,68
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;7;50;51,99;3,98
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;8;40;40,78;1,95
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;9;40;40,01;0,02
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;10;35;34,85;0,44
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;11;40;39,20;2,00
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;12;40;37,67;5,82
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;7;50;52,68;5,37
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;8;40;38,87;2,82
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;9;40;43,46;8,65
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;10;35;32,79;6,33
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;11;40;43,26;8,16
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;12;40;41,73;4,32
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;7;50;51,64;3,29
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;8;40;40,32;0,81
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;9;40;39,90;0,24
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;10;35;34,65;1,01
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;11;40;37,80;5,50
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;12;40;44,30;10,74
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;7;50;62,41;24,82
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;8;40;45,23;13,07
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;9;40;47,03;17,57
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;10;35;44,38;26,79
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;11;40;40,17;0,42
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;12;40;47,18;17,95
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;7;50;50,05;0,10
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;8;40;39,61;0,99
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;9;40;46,11;15,28
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;10;35;39,12;11,77
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;11;40;37,78;5,54
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;12;40;52,78;31,95
