Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;7;30;33,67;12,23
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;8;25;31,10;24,42
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;9;25;27,32;9,29
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;10;25;27,75;11,00
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;11;25;30,49;21,95
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;12;30;29,83;0,56
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;7;30;30,28;0,94
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;8;25;24,19;3,24
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;9;25;28,13;12,51
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;10;25;23,70;5,21
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;11;25;22,59;9,63
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;12;30;27,43;8,57
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;7;30;36,21;20,70
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;8;25;26,38;5,50
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;9;25;32,55;30,19
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;10;25;24,87;0,53
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;11;25;25,48;1,91
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;12;30;31,33;4,42
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;7;30;31,91;6,37
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;8;25;21,07;15,73
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;9;25;26,99;7,97
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;10;25;24,81;0,74
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;11;25;28,24;12,96
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;12;30;36,14;20,48
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;7;30;33,10;10,34
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;8;25;20,19;19,22
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;9;25;25,61;2,46
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;10;25;23,49;6,06
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;11;25;22,62;9,52
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;12;30;33,27;10,89
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;7;30;32,32;7,73
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;8;25;21,50;13,98
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;9;25;28,13;12,52
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;10;25;26,08;4,32
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;11;25;25,16;0,64
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;12;30;39,05;30,16
