Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;ACETUDIL;4677361,905;4333369,18;92,64558245
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;ANTHIX;2105796,642;1918472,38;91,10435177
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;APIKOBAL;11510682,01;13672274,17;118,7790103
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;APIKOBAL PLUS;2039320;2996120,96;146,9176471
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;FLEXO;11369215,66;7846251,02;69,01312504
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;FLUREND;4188467,311;3757798,28;89,71774163
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;ILIADIN;19469202,04;22786607,64;117,0392479
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;KOMOX;762608,4533;689111,97;90,36248772
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;LOCODERM;3377184,75;2872622,46;85,05967759
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;MAGNIS;1568459,81;1405267,5;89,5953783
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;PULMOREST;2207982,243;2065716,62;93,55675874
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;SPANOL;731230,4511;617963,32;84,51006369
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;TERBISIL;6608930,229;6896528,8;104,351666
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;TRIBUDAT;4352471,338;4125798,93;94,79209877
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;COGITO;2356874,084;2348856,36;99,65981534
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;DULOXX;4139107,303;6743792,266;162,9286649
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;ELEPSI;652074,6313;689362,23;105,7183023
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;EPREX;7025103,342;6738486,56;95,92010583
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;ETKINIA;2603600,594;2119590,72;81,40997988
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;EVASIF;4686713,876;4363689,15;93,10764995
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;FERROVEN;1693860,141;1289899,36;76,15146782
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;GYREX;9379822,06;11658642,17;124,2949183
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;LEV-END;3113732,54;2879341,67;92,47235056
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;PHOCUSS;1254940,977;2307574,83;183,8791522
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;SAYFREN;1275144,627;1012226,52;79,38131086
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;SECITA;8635205,796;7595241,63;87,95669506
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;SIDATRIA;3020150,25;1985398,35;65,73839662
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;UKRA;888671,7;599538,24;67,46453612
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;2;ZENTICAVIR;1900544,527;2142918,12;112,75285
