Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;4;EPREX;2238153,50;2199770,10;98,29
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;5;EPREX;2493709,94;2410090,02;96,65
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;6;EPREX;2293239,91;2128626,44;92,82
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;4;FERROVEN;517023,47;424406,17;82,09
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;5;FERROVEN;583856,36;508944,07;87,17
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;6;FERROVEN;592980,31;356549,12;60,13
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;4;SAYFREN;371822,12;346716,32;93,25
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;5;SAYFREN;470807,36;373563,35;79,35
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;6;SAYFREN;432515,15;291946,85;67,5
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;4;SECITA;2607844,54;2406560,48;92,28
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;5;SECITA;2991333,46;2590512,18;86,6
101455;ÜMv1 - Ürün Net Master Kota Realizasyonu;6;SECITA;3036027,80;2598168,97;85,58
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;4;ALLERSET;3307677,19;4352958,42;131,6
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;5;ALLERSET;4949363,23;4141677,20;83,68
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;6;ALLERSET;4302168,48;4187716,25;97,34
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;4;MODET;1903778,30;2013582,07;105,77
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;5;MODET;2255513,96;1826610,23;80,98
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;6;MODET;2256215,75;2143297,53;95
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;4;PULMISTAT;519655,10;692391,67;133,24
