Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;SAPMA (%)
101455;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;SECITA;8635205,80;7595241,63;87,96
101749;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;MODET;6415508,01;5983489,83;93,27
101271;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;CREBROS;4856214,82;4565147,34;94,01
100727;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;ACETUDIL;4677361,90;4333369,18;92,65
101903;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;KOMOX;762608,45;689111,97;90,36
101533;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;ELEKTRA PLUS;13061084,44;11289184,12;86,43
101533;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;HIRUDOID;13643268,62;12757221,92;93,51
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;DULOXX;4139107,30;6743792,27;162,93
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;GYREX;9379822,06;11658642,17;124,29
101898;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;MAGNIS;1568459,81;1405267,50;89,6
101029;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;PHOCUSS;1254940,98;2307574,83;183,88
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;BRONCHOREST;2726322,52;1540708,12;56,51
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;PARAFLEX;254114,00;251394,50;98,93
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;2;PARAFON;16513149,84;14696699,36;89
