Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
101455;ÜM - Gelişim İndeksi;1;100;94,19;94,19
101749;ÜM - Gelişim İndeksi;1;100;106,54;106,54
101271;ÜM - Gelişim İndeksi;1;100;109,4;109,4
100727;ÜM - Gelişim İndeksi;1;100;123,88;123,88
101903;ÜM - Gelişim İndeksi;1;100;91,71;91,71
101533;ÜM - Gelişim İndeksi;1;100;106,34;106,34
101427;ÜM - Gelişim İndeksi;1;100;115,24;115,24
101898;ÜM - Gelişim İndeksi;1;100;93,19;93,19
101029;ÜM - Gelişim İndeksi;1;100;131,89;131,89
101034;ÜM - Gelişim İndeksi;1;100;107,28;107,28
