PersonnelCode;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100650;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;64915,92112;12906,11;19,88
100650;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;452952,9196;336521,27;74,29
100650;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;344466,9181;313923,44;91,13
100528;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;52917,77714;58426,34;110,41
100528;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;500569,3817;482828,31;96,46
100528;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;413944,181;422195,48;101,99
100540;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;135922,9864;144524,59;106,33
100540;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;503216,9704;408704,29;81,22
100540;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;426107,743;372259,47;87,36
100333;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;49154,12253;36357,18;73,97
100333;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;498555,7101;438309,92;87,92
100333;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;354144,1039;253011,94;71,44
100584;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;83704,70518;66425,98;79,36
100584;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;432990,5963;208026,22;48,04
100584;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;468455,8164;499321,71;106,59
100509;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;76687,71647;78580,92;102,47
100509;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;604262,7113;644711,39;106,69
100509;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;565012,6145;554354,62;98,11
101568;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;53456,93625;49913,49;93,37
101568;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;865737,8761;1294243,8;149,5
101568;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;467358,3016;573912,27;122,8
100618;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;66390,58034;30581,42;46,06
