PersonnelCode;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100650;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;64915,92;12906,11;19,88
100650;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;452952,92;336521,27;74,29
100650;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;344466,92;313923,44;91,13
100528;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;52917,78;58426,34;110,41
100528;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;500569,38;482828,31;96,46
100528;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;413944,18;422195,48;101,99
100540;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;135922,99;144524,59;106,33
100540;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;503216,97;408704,29;81,22
100540;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;429749,78;374468,50;87,14
100333;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;49154,12;36357,18;73,97
100333;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;498555,71;438309,92;87,92
100333;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;354144,10;253011,94;71,44
100584;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;83704,71;66425,98;79,36
100584;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;432990,60;208026,22;48,04
100584;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;468455,82;499321,71;106,59
100509;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;76687,72;78580,92;102,47
100509;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;604262,71;644711,39;106,69
100509;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;565012,61;554354,62;98,11
101568;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;53456,94;49913,49;93,37
101568;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;865737,88;1294243,80;149,50
101568;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;467358,30;573912,27;122,80
100618;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;66390,58;30581,42;46,06
100618;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;485342,08;412145,34;84,92
100618;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;371451,89;427356,28;115,05
101906;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;47197,78;30520,03;64,66
101906;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;275054,17;232137,72;84,40
101906;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;261904,32;348307,77;132,99
100269;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;85467,68;47874,07;56,01
100269;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;493716,98;248913,78;50,42
100269;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;505568,86;393756,84;77,88
100242;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;54595,48;32793,62;60,07
100242;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;455094,35;505117,22;110,99
100242;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;285936,15;260046,74;90,95
102260;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;47920,78;39413,88;82,25
102260;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;373105,41;293980,05;78,79
102260;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;262641,53;226528,64;86,25
101810;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;60362,22;51250,07;84,90
101810;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;502355,50;559978,98;111,47
101810;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;389351,86;394822,79;101,41
101909;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;48200,97;15523,04;32,20
