Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100524;BTMv2 - Toplam Grup Kota Realizasyonu;1;10.448.708,96;10.571.453,76;101,1747365
100343;BTMv2 - Toplam Grup Kota Realizasyonu;1;15.937.876,62;15.387.442,01;96,54637426
100654;BTMv2 - Toplam Grup Kota Realizasyonu;1;14.024.345,55;15.036.261,07;107,2154206
100139;BTMv2 - Toplam Grup Kota Realizasyonu;1;15.960.497,06;16.477.181,44;103,23727
100161;BTMv2 - Toplam Grup Kota Realizasyonu;1;9.700.953,09;10.854.842,38;111,8945971
102020;BTMv2 - Toplam Grup Kota Realizasyonu;1;13.673.046,36;14.923.357,87;109,1443522
100273;BTMv2 - Toplam Grup Kota Realizasyonu;1;38.336.998,06;32.971.234,56;86,00369414
100416;BTMv2 - Toplam Grup Kota Realizasyonu;1;2.771.406,53;2.962.385,73;106,8910566
100389;BTMv2 - Toplam Grup Kota Realizasyonu;1;18.798.702,88;17.909.078,01;95,2676263
100377;BTMv2 - Toplam Grup Kota Realizasyonu;1;14.660.947,61;14.792.853,48;100,8997091
100008;BTMv2 - Toplam Grup Kota Realizasyonu;1;16.482.849,80;14.772.379,56;89,62272749
100285;BTMv2 - Toplam Grup Kota Realizasyonu;1;18.649.921,52;17.423.719,18;93,42516085
100387;BTMv2 - Toplam Grup Kota Realizasyonu;1;18.709.675,50;18.821.376,22;100,5970212
100238;BTMv2 - Toplam Grup Kota Realizasyonu;1;16.181.405,02;14.445.582,12;89,27273066
100299;BTMv2 - Toplam Grup Kota Realizasyonu;1;11.153.658,33;8.946.035,66;80,2071876
100796;BTMv2 - Toplam Grup Kota Realizasyonu;1;4.157.369,09;4.645.756,52;111,7475119
100198;BTMv2 - Toplam Grup Kota Realizasyonu;1;4.983.946,59;5.957.165,71;119,5270777
100074;BTMv2 - Toplam Grup Kota Realizasyonu;1;4.565.009,79;4.655.221,09;101,976147
100087;BTMv2 - Toplam Grup Kota Realizasyonu;1;4.154.639,57;4.251.210,33;102,3244077
100162;BTMv2 - Toplam Grup Kota Realizasyonu;1;4.549.114,75;4.988.277,91;109,6538158
100784;BTMv2 - Toplam Grup Kota Realizasyonu;1;5.171.607,37;5.869.631,64;113,4972402
100690;BTMv2 - Toplam Grup Kota Realizasyonu;1;13.098.549,61;11.644.280,68;88,89748123
100319;BTMv2 - Toplam Grup Kota Realizasyonu;1;11.612.365,20;11.712.605,83;100,8632232
100088;BTMv2 - Toplam Grup Kota Realizasyonu;1;13.976.394,54;15.285.641,59;109,3675593
100678;BTMv2 - Toplam Grup Kota Realizasyonu;1;9.193.962,42;9.616.883,71;104,5999894
101980;BTMv2 - Toplam Grup Kota Realizasyonu;1;16.007.689,80;15.018.722,28;93,82192225
101986;BTMv2 - Toplam Grup Kota Realizasyonu;1;15.450.091,01;16.167.297,85;104,6420881
100077;BTMv2 - Toplam Grup Kota Realizasyonu;1;11.036.361,06;11.636.872,42;105,441208
100084;BTMv2 - Toplam Grup Kota Realizasyonu;1;15.603.423,53;16.006.601,66;102,5839081
100493;BTMv2 - Toplam Grup Kota Realizasyonu;1;14.785.331,55;16.038.716,82;108,4772213
100234;BTMv2 - Toplam Grup Kota Realizasyonu;1;12.599.384,61;12.918.625,03;102,5337779
100419;BTMv2 - Toplam Grup Kota Realizasyonu;1;10.705.967,18;10.389.584,87;97,04480402
100313;BTMv2 - Toplam Grup Kota Realizasyonu;1;9.845.808,58;9.632.803,26;97,83658888
100246;BTMv2 - Toplam Grup Kota Realizasyonu;1;8.995.983,68;8.543.278,67;94,96769865
100302;BTMv2 - Toplam Grup Kota Realizasyonu;1;8.250.433,86;9.144.603,06;110,8378446
100458;BTMv2 - Toplam Grup Kota Realizasyonu;1;11.662.358,55;12.282.896,71;105,3208633
100295;BTMv2 - Toplam Grup Kota Realizasyonu;1;14.575.929,17;14.803.057,09;101,5582397
100586;BTMv2 - Toplam Grup Kota Realizasyonu;1;12.505.963,69;12.216.106,19;97,68224581
100659;BTMv2 - Toplam Grup Kota Realizasyonu;1;13.049.840,30;12.545.685,14;96,13669481
100115;BTMv2 - Toplam Grup Kota Realizasyonu;1;9.150.413,75;9.726.394,39;106,2945857
100268;BTMv2 - Toplam Grup Kota Realizasyonu;1;9.768.667,76;10.360.854,00;106,0620982
100311;BTMv2 - Toplam Grup Kota Realizasyonu;1;10.491.003,45;11.399.132,62;108,656266
100297;BTMv2 - Toplam Grup Kota Realizasyonu;1;6.994.363,08;7.305.693,05;104,4511554
