Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100654;BTMv2 - Toplam Grup Kota Realizasyonu;1;14024345,55;15022142,80;107,11
100161;BTMv2 - Toplam Grup Kota Realizasyonu;1;9700953,09;10849590,36;111,84
102020;BTMv2 - Toplam Grup Kota Realizasyonu;1;13754757,98;15008535,23;109,12
100139;BTMv2 - Toplam Grup Kota Realizasyonu;1;15960497,06;16475236,28;103,23
100343;BTMv2 - Toplam Grup Kota Realizasyonu;1;15937876,62;15383222,97;96,52
100524;BTMv2 - Toplam Grup Kota Realizasyonu;1;10448708,96;10570549,29;101,17
100273;BTMv2 - Toplam Grup Kota Realizasyonu;1;50383305,38;43716752,01;86,77
100416;BTMv2 - Toplam Grup Kota Realizasyonu;1;2771406,53;2960191,56;106,81
100796;BTMv2 - Toplam Grup Kota Realizasyonu;1;4157369,09;4642878,76;111,68
100299;BTMv2 - Toplam Grup Kota Realizasyonu;1;11153658,33;8945999,09;80,21
100008;BTMv2 - Toplam Grup Kota Realizasyonu;1;16482849,80;14762371,16;89,56
100377;BTMv2 - Toplam Grup Kota Realizasyonu;1;14660947,61;14791504,93;100,89
100387;BTMv2 - Toplam Grup Kota Realizasyonu;1;18709675,50;18803682,76;100,50
100389;BTMv2 - Toplam Grup Kota Realizasyonu;1;18798702,88;17898730,19;95,21
100285;BTMv2 - Toplam Grup Kota Realizasyonu;1;18649921,52;17422475,82;93,42
100238;BTMv2 - Toplam Grup Kota Realizasyonu;1;16181405,02;14426579,88;89,16
100784;BTMv2 - Toplam Grup Kota Realizasyonu;1;6482906,97;7254082,20;111,90
100162;BTMv2 - Toplam Grup Kota Realizasyonu;1;5678752,41;6111346,64;107,62
100198;BTMv2 - Toplam Grup Kota Realizasyonu;1;6230854,02;7404594,70;118,84
100074;BTMv2 - Toplam Grup Kota Realizasyonu;1;5703092,38;5681398,20;99,62
100087;BTMv2 - Toplam Grup Kota Realizasyonu;1;5180245,29;5232464,50;101,01
101980;BTMv2 - Toplam Grup Kota Realizasyonu;1;19109423,59;17897370,94;93,66
100088;BTMv2 - Toplam Grup Kota Realizasyonu;1;16671403,22;18221210,23;109,30
100678;BTMv2 - Toplam Grup Kota Realizasyonu;1;10976262,83;11634069,55;105,99
100690;BTMv2 - Toplam Grup Kota Realizasyonu;1;15638704,52;13963043,37;89,29
100319;BTMv2 - Toplam Grup Kota Realizasyonu;1;13881697,35;14118984,79;101,71
101986;BTMv2 - Toplam Grup Kota Realizasyonu;1;18431001,67;19339703,24;104,93
100084;BTMv2 - Toplam Grup Kota Realizasyonu;1;19396782,93;19710069,68;101,62
100077;BTMv2 - Toplam Grup Kota Realizasyonu;1;13694854,88;14353444,32;104,81
100493;BTMv2 - Toplam Grup Kota Realizasyonu;1;18401137,50;19505925,25;106,00
100246;BTMv2 - Toplam Grup Kota Realizasyonu;1;11190364,77;11008063,88;98,37
100313;BTMv2 - Toplam Grup Kota Realizasyonu;1;12239022,88;12127305,91;99,09
100419;BTMv2 - Toplam Grup Kota Realizasyonu;1;13313504,78;12710463,11;95,47
100234;BTMv2 - Toplam Grup Kota Realizasyonu;1;15652883,65;15614166,63;99,75
100302;BTMv2 - Toplam Grup Kota Realizasyonu;1;9227384,87;10160335,52;110,11
100268;BTMv2 - Toplam Grup Kota Realizasyonu;1;11076969,44;11812629,16;106,64
100295;BTMv2 - Toplam Grup Kota Realizasyonu;1;16433356,70;16743701,55;101,89
100458;BTMv2 - Toplam Grup Kota Realizasyonu;1;13124514,02;13953667,84;106,32
100586;BTMv2 - Toplam Grup Kota Realizasyonu;1;14089755,21;13894653,31;98,62
100659;BTMv2 - Toplam Grup Kota Realizasyonu;1;14701359,55;14319192,96;97,40
100297;BTMv2 - Toplam Grup Kota Realizasyonu;1;8321179,90;8761982,51;105,30
100115;BTMv2 - Toplam Grup Kota Realizasyonu;1;11123480,11;11828117,75;106,33
100311;BTMv2 - Toplam Grup Kota Realizasyonu;1;11823897,42;12953469,21;109,55
