Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100524;BTMv2 - Toplam Grup Kota Realizasyonu;1;10448708,96;10571453,76;101,1747365
100343;BTMv2 - Toplam Grup Kota Realizasyonu;1;15937876,62;15387442,01;96,54637426
100654;BTMv2 - Toplam Grup Kota Realizasyonu;1;14024345,55;15036261,07;107,2154206
100139;BTMv2 - Toplam Grup Kota Realizasyonu;1;15960497,06;16477181,44;103,23727
100161;BTMv2 - Toplam Grup Kota Realizasyonu;1;9700953,09;10854842,38;111,8945971
102020;BTMv2 - Toplam Grup Kota Realizasyonu;1;13673046,36;14923357,87;109,1443522
100273;BTMv2 - Toplam Grup Kota Realizasyonu;1;38336998,06;32971234,56;86,00369414
100416;BTMv2 - Toplam Grup Kota Realizasyonu;1;2771406,53;2962385,73;106,8910566
100389;BTMv2 - Toplam Grup Kota Realizasyonu;1;18798702,88;17909078,01;95,2676263
100377;BTMv2 - Toplam Grup Kota Realizasyonu;1;14660947,61;14792853,48;100,8997091
100008;BTMv2 - Toplam Grup Kota Realizasyonu;1;16482849,8;14772379,56;89,62272749
100285;BTMv2 - Toplam Grup Kota Realizasyonu;1;18649921,52;17423719,18;93,42516085
100387;BTMv2 - Toplam Grup Kota Realizasyonu;1;18709675,5;18821376,22;100,5970212
100238;BTMv2 - Toplam Grup Kota Realizasyonu;1;16181405,02;14445582,12;89,27273066
100299;BTMv2 - Toplam Grup Kota Realizasyonu;1;11153658,33;8946035,66;80,2071876
100796;BTMv2 - Toplam Grup Kota Realizasyonu;1;4157369,09;4645756,52;111,7475119
100198;BTMv2 - Toplam Grup Kota Realizasyonu;1;4983946,59;5957165,71;119,5270777
100074;BTMv2 - Toplam Grup Kota Realizasyonu;1;4565009,79;4655221,09;101,976147
100087;BTMv2 - Toplam Grup Kota Realizasyonu;1;4154639,57;4251210,33;102,3244077
100162;BTMv2 - Toplam Grup Kota Realizasyonu;1;4549114,75;4988277,91;109,6538158
100784;BTMv2 - Toplam Grup Kota Realizasyonu;1;5171607,37;5869631,64;113,4972402
100690;BTMv2 - Toplam Grup Kota Realizasyonu;1;13098549,61;11644280,68;88,89748123
100319;BTMv2 - Toplam Grup Kota Realizasyonu;1;11612365,2;11712605,83;100,8632232
100088;BTMv2 - Toplam Grup Kota Realizasyonu;1;13976394,54;15285641,59;109,3675593
100678;BTMv2 - Toplam Grup Kota Realizasyonu;1;9193962,42;9616883,71;104,5999894
101980;BTMv2 - Toplam Grup Kota Realizasyonu;1;16007689,8;15018722,28;93,82192225
101986;BTMv2 - Toplam Grup Kota Realizasyonu;1;15450091,01;16167297,85;104,6420881
100077;BTMv2 - Toplam Grup Kota Realizasyonu;1;11036361,06;11636872,42;105,441208
100084;BTMv2 - Toplam Grup Kota Realizasyonu;1;15603423,53;16006601,66;102,5839081
100493;BTMv2 - Toplam Grup Kota Realizasyonu;1;14785331,55;16038716,82;108,4772213
100234;BTMv2 - Toplam Grup Kota Realizasyonu;1;12599384,61;12918625,03;102,5337779
100419;BTMv2 - Toplam Grup Kota Realizasyonu;1;10705967,18;10389584,87;97,04480402
100313;BTMv2 - Toplam Grup Kota Realizasyonu;1;9845808,58;9632803,26;97,83658888
100246;BTMv2 - Toplam Grup Kota Realizasyonu;1;8995983,68;8543278,67;94,96769865
100302;BTMv2 - Toplam Grup Kota Realizasyonu;1;8250433,86;9144603,06;110,8378446
100458;BTMv2 - Toplam Grup Kota Realizasyonu;1;11662358,55;12282896,71;105,3208633
100295;BTMv2 - Toplam Grup Kota Realizasyonu;1;14575929,17;14803057,09;101,5582397
100586;BTMv2 - Toplam Grup Kota Realizasyonu;1;12505963,69;12216106,19;97,68224581
100659;BTMv2 - Toplam Grup Kota Realizasyonu;1;13049840,3;12545685,14;96,13669481
100115;BTMv2 - Toplam Grup Kota Realizasyonu;1;9150413,75;9726394,39;106,2945857
100268;BTMv2 - Toplam Grup Kota Realizasyonu;1;9768667,76;10360854;106,0620982
100311;BTMv2 - Toplam Grup Kota Realizasyonu;1;10491003,45;11399132,62;108,656266
100297;BTMv2 - Toplam Grup Kota Realizasyonu;1;6994363,08;7305693,05;104,4511554
