Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100084;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;FLUREND;1879495,18;2294877,08;122,10
100084;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;ILIADIN;10442974,63;10055685,26;96,29
100084;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;MAGNIS  ;389196,20;387666,08;99,61
100084;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PINIX  ;361705,82;359741,36;99,46
100084;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PULMOREST FORT  ;92190,50;119335,34;129,44
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;FLUREND;1700770,22;2177481,79;128,03
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;ILIADIN;6464934,02;6085188,28;94,13
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;MAGNIS  ;446843,80;476404,24;106,62
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PINIX  ;307643,59;433179,12;140,81
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PULMOREST FORT  ;92844,34;157942,79;170,12
100493;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;FLUREND;1716871,83;2337044,36;136,12
100493;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;ILIADIN;10073955,05;9877587,38;98,05
100493;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;MAGNIS  ;427603,51;458106,32;107,13
100493;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PINIX  ;394499,75;411505,16;104,31
100493;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PULMOREST FORT  ;118605,37;165593,40;139,62
100246;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;FLUREND;1221142,19;1232852,03;100,96
100246;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;ILIADIN;5671943,19;5653423,26;99,67
100246;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;MAGNIS  ;399802,90;272240,64;68,09
100246;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PINIX  ;292244,26;428827,96;146,74
100246;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PULMOREST FORT  ;95532,90;182396,39;190,93
100313;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;FLUREND;1099523,77;1099911,60;100,04
100313;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;ILIADIN;6127003,86;6188753,35;101,01
100313;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;MAGNIS  ;367639,48;299721,28;81,53
100313;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri) - 10.000;1;PINIX  ;287053,40;251398,84;87,58
