Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100654;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;4060189,91;5170704,56;127,35
100654;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;4192144,97;4146354,04;98,91
100654;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;2816298,07;2774466,27;98,51
100161;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;3258126,81;3771350,94;115,75
100161;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;2410957,56;2597704,65;107,75
100161;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;1767999,04;2016689,14;114,07
102020;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;3744396,65;4466621,42;119,29
102020;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;4578603,43;5168893,99;112,89
102020;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;2315219,01;2393556,53;103,38
100139;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;4938222,86;5693731,28;115,3
100139;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;4453948,71;4506469,52;101,18
100139;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;2957953,49;2844726,8;96,17
100343;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;4280675,57;4619138,44;107,91
100343;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;5162053,27;4991218,74;96,69
100343;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;3342350,55;2820413,9;84,38
100524;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;3811379,18;4446791,66;116,67
100524;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;3011681,29;2566755,65;85,23
100524;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;1378359,44;1667443,71;120,97
100273;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DÝCLOFLAM;21947935;14971488;68,21
100273;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;3154728;2431780;77,08
100273;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;1283957,83;1306535,52;101,76
100273;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;1299023,82;1314891,82;101,22
100273;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;760096,38;732098,23;96,32
100416;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;847077,72;988798,84;116,73
100416;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;792670,48;828792,93;104,56
