Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç
100416;BTMv2 - Geliþim Ýndeksi;1;109,97;108,9;99,02
100273;BTMv2 - Geliþim Ýndeksi;1;109,97;105,56;95,99
100343;BTMv2 - Geliþim Ýndeksi;1;109,97;105,45;95,89
100524;BTMv2 - Geliþim Ýndeksi;1;109,97;115,06;104,63
100139;BTMv2 - Geliþim Ýndeksi;1;109,97;106,99;97,29
102020;BTMv2 - Geliþim Ýndeksi;1;109,97;114,44;104,06
100161;BTMv2 - Geliþim Ýndeksi;1;109,97;121,73;110,7
100654;BTMv2 - Geliþim Ýndeksi;1;109,97;113,76;103,44
100238;BTMv2 - Geliþim Ýndeksi;1;99,3;94,92;95,59
100008;BTMv2 - Geliþim Ýndeksi;1;99,3;94,06;94,72
100389;BTMv2 - Geliþim Ýndeksi;1;99,3;101,72;102,44
100299;BTMv2 - Geliþim Ýndeksi;1;99,3;94,8;95,47
100796;BTMv2 - Geliþim Ýndeksi;1;104,63;104,62;99,95
100285;BTMv2 - Geliþim Ýndeksi;1;99,3;103,4;104,13
100377;BTMv2 - Geliþim Ýndeksi;1;99,3;99,99;100,7
100387;BTMv2 - Geliþim Ýndeksi;1;99,3;102,18;102,9
100087;BTMv2 - Geliþim Ýndeksi;1;128,56;125,78;97,84
100074;BTMv2 - Geliþim Ýndeksi;1;128,56;118,49;92,17
100198;BTMv2 - Geliþim Ýndeksi;1;128,56;141,09;109,75
100784;BTMv2 - Geliþim Ýndeksi;1;128,56;136,06;105,84
100162;BTMv2 - Geliþim Ýndeksi;1;128,56;123,7;96,22
100088;BTMv2 - Geliþim Ýndeksi;1;123,26;133,88;108,62
101986;BTMv2 - Geliþim Ýndeksi;1;123,26;129,64;105,18
101980;BTMv2 - Geliþim Ýndeksi;1;123,26;115,15;93,43
100690;BTMv2 - Geliþim Ýndeksi;1;123,26;124,85;101,29
100678;BTMv2 - Geliþim Ýndeksi;1;123,26;116,39;94,43
100319;BTMv2 - Geliþim Ýndeksi;1;123,26;117,8;95,58
100313;BTMv2 - Geliþim Ýndeksi;1;113,34;111,36;98,26
100419;BTMv2 - Geliþim Ýndeksi;1;113,34;106,26;93,76
100234;BTMv2 - Geliþim Ýndeksi;1;113,34;113,33;99,99
100246;BTMv2 - Geliþim Ýndeksi;1;113,34;107,67;95
100493;BTMv2 - Geliþim Ýndeksi;1;113,34;119,35;105,3
100084;BTMv2 - Geliþim Ýndeksi;1;113,34;114,45;100,98
100302;BTMv2 - Geliþim Ýndeksi;1;113,34;120,25;106,1
100075;BTMv2 - Geliþim Ýndeksi;1;113,34;117,64;103,8
100077;BTMv2 - Geliþim Ýndeksi;1;113,34;117,5;103,68
100311;BTMv2 - Geliþim Ýndeksi;1;110,97;110,81;99,86
100268;BTMv2 - Geliþim Ýndeksi;1;110,97;109,42;98,6
100295;BTMv2 - Geliþim Ýndeksi;1;110,97;108,56;97,83
100297;BTMv2 - Geliþim Ýndeksi;1;110,97;103,66;93,41
100659;BTMv2 - Geliþim Ýndeksi;1;110,97;113,68;102,45
100586;BTMv2 - Geliþim Ýndeksi;1;110,97;115;103,64
100115;BTMv2 - Geliþim Ýndeksi;1;110,97;111,46;100,45
100458;BTMv2 - Geliþim Ýndeksi;1;110,97;113,07;101,9
