Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100524;BTMv2 - Pazar Ýndeksi;1;100;97,74;97,74
100273;BTMv2 - Pazar Ýndeksi;1;100;94,89;94,89
100343;BTMv2 - Pazar Ýndeksi;1;100;102,21;102,21
100654;BTMv2 - Pazar Ýndeksi;1;100;115,74;115,74
100139;BTMv2 - Pazar Ýndeksi;1;100;102,05;102,05
100161;BTMv2 - Pazar Ýndeksi;1;100;114,73;114,73
100416;BTMv2 - Pazar Ýndeksi;1;100;96,33;96,33
102020;BTMv2 - Pazar Ýndeksi;1;100;93,23;93,23
100389;BTMv2 - Pazar Ýndeksi;1;100;95,45;95,45
100377;BTMv2 - Pazar Ýndeksi;1;100;124,59;124,59
100008;BTMv2 - Pazar Ýndeksi;1;100;99,03;99,03
100285;BTMv2 - Pazar Ýndeksi;1;100;93,29;93,29
100387;BTMv2 - Pazar Ýndeksi;1;100;122,8;122,8
100238;BTMv2 - Pazar Ýndeksi;1;100;90,49;90,49
100299;BTMv2 - Pazar Ýndeksi;1;100;69,26;69,26
100796;BTMv2 - Pazar Ýndeksi;1;100;115,1;115,1
100198;BTMv2 - Pazar Ýndeksi;1;100;110,16;110,16
100074;BTMv2 - Pazar Ýndeksi;1;100;94,51;94,51
100087;BTMv2 - Pazar Ýndeksi;1;100;98,89;98,89
100162;BTMv2 - Pazar Ýndeksi;1;100;117;117
100784;BTMv2 - Pazar Ýndeksi;1;100;88,5;88,5
100690;BTMv2 - Pazar Ýndeksi;1;100;85,97;85,97
100319;BTMv2 - Pazar Ýndeksi;1;100;99,45;99,45
100088;BTMv2 - Pazar Ýndeksi;1;100;106,97;106,97
100678;BTMv2 - Pazar Ýndeksi;1;100;109,23;109,23
101980;BTMv2 - Pazar Ýndeksi;1;100;103,49;103,49
101986;BTMv2 - Pazar Ýndeksi;1;100;102,27;102,27
100246;BTMv2 - Pazar Ýndeksi;1;100;86,37;86,37
100493;BTMv2 - Pazar Ýndeksi;1;100;105,1;105,1
100077;BTMv2 - Pazar Ýndeksi;1;100;109,08;109,08
100084;BTMv2 - Pazar Ýndeksi;1;100;107,45;107,45
100419;BTMv2 - Pazar Ýndeksi;1;100;101,45;101,45
100313;BTMv2 - Pazar Ýndeksi;1;100;86,31;86,31
100234;BTMv2 - Pazar Ýndeksi;1;100;99,43;99,43
100302;BTMv2 - Pazar Ýndeksi;1;100;115,62;115,62
100311;BTMv2 - Pazar Ýndeksi;1;100;116,83;116,83
100458;BTMv2 - Pazar Ýndeksi;1;100;105,04;105,04
100268;BTMv2 - Pazar Ýndeksi;1;100;100,82;100,82
100297;BTMv2 - Pazar Ýndeksi;1;100;98,33;98,33
100295;BTMv2 - Pazar Ýndeksi;1;100;104,26;104,26
100115;BTMv2 - Pazar Ýndeksi;1;100;108,01;108,01
100659;BTMv2 - Pazar Ýndeksi;1;100;88,84;88,84
100586;BTMv2 - Pazar Ýndeksi;1;100;93,12;93,12
