Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
101897;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;ELEKTRA PLUS;30260530,00;35988416,00;118,93
101897;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;MODET;19895250,00;18576857,00;93,37
100289;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;ILIADIN;60631063,00;58297907,00;96,15
100289;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;PINIX;3861795,60;4181198,57;108,27
100454;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;ACETUDIL;13227149,00;8715271,00;65,89
100454;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;APÝKOBAL PLUS;10989290,00;15493318,00;140,99
100970;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;DULOXX;11644771,00;17123860,00;147,05
100970;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;GYREX;28473757,00;34797262,00;122,21
100970;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;PHOCUSS;8784942,00;6630859,00;75,48
100970;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;SECÝTA;23422799,00;23323673,00;99,58
100970;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;CRALIUM;380187,00;434396,00;114,26
100421;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;EVASÝF;4650878,00;4878591,00;104,90
100421;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;SÝDATRÝA;2458560,00;3390922,00;137,92
100264;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;DICLOFLAM;17181817,00;13185387,00;76,74
100264;TMv2 - Hedef Ürünler Net Master TL Kota Realizasyonu;1;BRONCHOREST;2220000,00;1544883,00;69,59
