Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
101117;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;DULOXX;11644771;17123860;147,05
101117;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;UKRA;1911572;2381321;124,57
101125;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;ELEKTRA PLUS GEL ;30260530;35988416;118,93
101125;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;MODET;19895250;18576857;93,37
101402;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;PARAFON;37646846;33838443;89,88
101402;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;DICLOFLAM ;46158678;34150925;73,99
102022;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;ILIADIN;60631063;58297907;96,15
102022;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;PINIX ;3861795,6;4181198,57;108,27
102204;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;ACETUDIL;13227149;8715271;65,89
102204;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;APIKOBAL PLUS ;10989290;15493318;140,99
101960;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;EVASIF ;12552938;13476939;107,36
101960;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;SIDATRIA ;6110927;8326662;136,26
102205;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;PHOCUSS;8784942;6630859;75,48
102205;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;GYREX;28473757;34797262;122,21
