Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Realizasyon
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;ACETUDIL  ;13227149,00;8715271,00;65,89
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;ANTHIX  ;5523971,00;5305661,00;96,05
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;APIKOBAL C.TAB 30;29713000,00;40563007,00;136,52
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;APIKOBAL PLUS ENTER ;10989290,00;15493318,00;140,99
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;ECCURY  ;2537848,00;581562,00;22,92
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;FLEXO GRUP;22501932,00;19428890,00;86,34
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;FLUREND;11925469,00;16124396,00;135,21
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;ILIADIN;60631063,00;58297907,00;96,15
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;KOMOX;2137697,00;1748191,00;81,78
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;LOCODERM;7734415,00;7795161,00;100,79
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;MAGNIS  ;4659346,00;4188469,00;89,89
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;PINIX  ;3861795,60;4181198,57;108,27
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;PULMOREST SYRUP  ;3274800,00;3276277,00;100,05
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;TERBISIL;16993578,00;19038870,00;112,04
101964;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;TRIBUDAT;8720535,00;9226337,00;105,80
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;ALLERSET;32517425,00;32151906,00;98,88
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;BRONCHOREST ;6521728,00;4819861,00;73,90
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;CREBROS;12468755,00;12253046,00;98,27
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;DERMACUTAN GEL  ;1074401,00;775585,00;72,19
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;DICLOFLAM  ;46158678,00;34150925,00;73,99
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;ELEKTRA FILMTAB 50 MG FORT 30;6363334,00;5108509,00;80,28
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;ELEKTRA PLUS GEL ;30260530,00;35988416,00;118,93
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;HIRUDOID;31581405,00;31599647,00;100,06
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;MODET;19895250,00;18576857,00;93,37
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;NAZOSTER  ;12573815,00;12901431,00;102,61
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;OLY;4628515,00;3838673,00;82,94
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;PARAFON  ;37646846,00;33838443,00;89,88
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;PULMISTAT SYRUP  ;5227596,00;4130439,00;79,01
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;SEMPRIBAN;3894744,53;3018650,00;77,51
100759;PAZM - Net Master Kota Realizasyonu (Ýlgili Tüm Ürünler) TL;1;TRIBUDAT SUSP  ;5602800,00;4943669,00;88,24
