Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Realizasyon
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ACETUDIL;13227149,00;8715271,00;65,89
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FLEXO;22501932,00;19428890,00;86,34
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;TRIBUDAT TAB;8720535,00;9226337,00;105,80
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
