Çalýþan Sicil No;Gösterge Adý ;Periyot;Urun;Planlanan;Gerçekleþen;Sonuç 
101455;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;FERROVEN;17,66%;21,10%;119,52%
101533;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;HIRUDOID;34,65%;34,30%;98,97%
101898;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;TERBISIL TOP;3,60%;3,81%;105,67%
101898;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;TERBISIL TAB;32,00%;34,81%;108,79%
102216;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;FLEXO TOP;3,67%;4,36%;118,59%
101533;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;ELEKTRA PLUS;12,33%;19,18%;155,60%
101029;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;PHOCUSS;4,32%;3,27%;75,77%
101256;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;ILIADIN;41,12%;37,46%;91,10%
101256;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;FLUREND;5,32%;7,49%;140,82%
101029;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;UKRA;3,26%;4,40%;135,08%
101903;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;APIKOBAL PLUS;15,21%;30,30%;199,25%
101903;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;ECCURY;4,28%;0,83%;19,40%
102201;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;SIDATRIA;18,52%;23,65%;127,71%
102201;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;EVASIF;10,42%;12,56%;120,60%
101427;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;GYREX;22,11%;28,26%;127,80%
101455;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;SECITA;16,79%;18,39%;109,56%
101427;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;DULOXX;12,90%;20,18%;156,42%
102216;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;ACETUDIL;21,34%;13,65%;63,95%
101898;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;PINIX;9,13%;10,74%;117,63%
