Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
102502;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;GYREX;60618024;55181986;91,03
102502;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;PHOCUSS;10993550;8571678;77,97
101402;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;DİCLOFLAM;49128283;49029910;99,80
101402;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;PARAFON ;41214232;38553546;93,54
102022;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;İLİADİN;64277044;80765455;125,65
102022;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;PİNİX;12081022;11088875;91,79
101125;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;HİRUDOİD;45258377;47263111;104,43
101125;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;MODET;22753658;22730304;99,90
101117;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;DULOXX;26180843;26875216;102,65
101117;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;SECİTA;33960792;35180874;103,59
102204;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;ACETUDİL;10266125;11302216;110,09
102204;MMv1 - Hedef ve Lansman Ürünler Net Master Kota Realizasyonu;1;APIKOBAL PLUS;19207514;20581905;107,16
