Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;GYREX;60618024;55181986;91,03230749
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;PHOCUSS;10993549,5;8571678;77,97006781
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;DİCLOFLAM;49128283;49029910;99,799763
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;PARAFON ;41214232;38553546;93,54425432
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;İLİADİN;64277044;80765455;125,6520991
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;PİNİX;12081022;11088875;91,78755738
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;HİRUDOİD;45258377;47263111;104,4295314
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;MODET;22753658;22730304;99,89736156
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;DULOXX;26180843;26875216;102,6522179
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;SECİTA;33960792;35180874;103,5926194
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;ACETUDİL;10266125;11302216;110,0923279
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;APIKOBAL PLUS;19207514;20581905;107,1554861
