Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;GYREX;60618024,00;55181986,00;91,03
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;PHOCUSS;10993549,50;8571678,00;77,97
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;DİCLOFLAM;49128283,00;49029910,00;99,80
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;PARAFON ;41214232,00;38553546,00;93,54
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;İLİADİN;64277044,00;80765455,00;125,65
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;PİNİX;12081022,00;11088875,00;91,79
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;HİRUDOİD;45258377,00;47263111,00;104,43
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;MODET;22753658,00;22730304,00;99,90
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;DULOXX;26180843,00;26875216,00;102,65
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;SECİTA;33960792,00;35180874,00;103,59
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;ACETUDİL;10266125,00;11302216,00;110,09
101116;MD - Hedef Ürünler Net Master Kota Realizasyonu;1;APIKOBAL PLUS;19207514,00;20581905,00;107,16
