Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;COGİTO;7526385;6489279;86,22
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;CRALİUM;1092612;942819;86,29
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;CREBROS;16645965;15737279;94,54
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;DRAXOL;10478634;8168661;77,96
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;DULOXX;26180843;26875216;102,65
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ELEKTRA FORTE TABLET;4772964;4332501;90,77
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ELEKTRA JEL;871118,1818;1564568,24;179,6
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ELEKTRA PLUS JEL;19654432;15068842;76,67
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ELEPSİ;5402282,348;4060330;75,16
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ETKİNİA;5615165;5100216;90,83
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;EVASİF;20167493;17408217;86,32
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;FERROVEN;4371956;3634251;83,13
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;GYREX;60618024;55181986;91,03
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;HİRUDOİD;45258377;47263111;104,43
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;JUVELTA;3950167;4579570;115,93
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;LEV-END;11224326;10176986;90,67
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;MODET;22753658;22730304;99,9
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;OLY;3028018;3611443;119,27
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;OXFET;5761477;7421656;128,82
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;PHOCUSS;10993549,5;8571678;77,97
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;SAYFREN;2651305;2296475;86,62
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;SECİTA;33960792;35180677;103,59
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;SİDATRİA;17608685;12937279;73,47
102315;PAZM - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ZENTİCAVİR;14315592;11524169;80,5
