Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
102201;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;CREBROS;16645965;15737279;94,54
102201;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;MODET;22753658;22730304;99,9
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ACETUDİL;10266125;11302216;110,09
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FLEXO GRUP;12406949;11715140;94,42
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;MAGNİS;3895253;4145764;106,43
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;PİNİX;6032532;5601556;92,86
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;TRİBUDAT FORTE;10134476;7732682;76,3
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;APIKOBAL;66019141;53366340;80,83
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;APIKOBAL PLUS;19207514;20581905;107,16
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ENORNO;1234203,38;1918375;155,43
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;UKRA;3183295;2574194;80,87
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;DRAXOL;10478634;8168661;77,96
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ELEKTRA FORTE TABLET;4772964;4332501;90,77
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ELEKTRA JEL;871118,18;1564568,24;179,6
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;HİRUDOİD;45258377;47263111;104,43
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;DULOXX;26180843;26875216;102,65
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ELEPSİ;5402282,35;4060330;75,16
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;GYREX;60618024;55181986;91,03
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;LEV-END;11224326;10176986;90,67
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;SAYFREN;2651305;2296475;86,62
101256;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FLUREND;16624593;4915073;29,57
101256;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;İLİADİN;64277044;80765455;125,65
101256;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;LOCODERM;9438077;9324110;98,79
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ANTHIX;2351084;1970712;83,82
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FLEXO GRUP;9671395;7013670;72,52
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;TERBİSİL;11077585;12643517;114,14
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;THERMOFLEX;868948;1020665;117,46
