Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
102201;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;CREBROS;16645965;15737279;94,54
102201;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;MODET;22753658;22730304;99,9
102216;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;ACETUDİL;10266125;11302216;110,09
102216;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;MAGNİS;3895253;4145764;106,43
101903;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;APIKOBAL PLUS;19207514;20581905;107,16
101903;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;ENORNO;1234203,38;1918375;155,43
101533;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;DRAXOL;10478634;8168661;77,96
101533;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;HİRUDOİD;45258377;47263111;104,43
101427;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;DULOXX;26180843;26875216;102,65
101427;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;GYREX;60618024;55181986;91,03
101256;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;İLİADİN;64277044;80765455;125,65
101256;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;LOCODERM;9438077;9324110;98,79
101273;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;TERBİSİL;11077585;12643517;114,14
101273;ÜMv1 - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;THERMOFLEX;868948;1020665;117,46
