Çalışan Sicil No;Gösterge Adı ;Periyot;Urun;Planlanan;Gerçekleşen;Sonuç 
101273;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;TERBISIL TAB;42,38313487;42,33123915;99,87755574
101273;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;TERBISIL TOP;4,411921954;4,175398813;94,63899988
102201;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;MODET ;13,99417912;13,01021006;92,96872612
102201;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;CREBROS;70,15595345;73,79678088;105,1896201
102216;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;ACETUDIL;12,90491414;13,73348227;106,4205629
102216;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;MAGNIS;23,20810588;24,85793562;107,1088513
101903;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;APIKOBAL PLUS;37,73882457;36,257343;96,07438338
101533;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;HIRUDOID;36,14700899;40,87772997;113,0874479
101533;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;DRAXOL;11,00235933;10,23197712;92,99802718
101427;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;DULOXX;23,81456489;22,46198452;94,32036495
101427;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;GYREX;30,32766106;28,80356038;94,97455252
101256;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;ILIADIN;36,68265886;39,98294644;108,9968603
101256;ÜMv1 - Seçilen ürün ATC veya Molekül Pazar indeksi (iki ürün seçilecek);1;LOCODERM;5,019599217;4,359484769;86,84925989
