Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;İLİADİN;64.277.044;80.765.455;125,65
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;PİNİX;12.081.022;11.088.875;91,79
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;ETKİNİA;5.615.165;5.100.216;90,83
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;GYREX;60.618.024;55.181.986;91,03
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;PHOCUSS;10.993.550;8.571.678;77,97
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;SECİTA;33.960.792;35.180.677;103,59
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;ACETUDİL;10.266.125;11.302.216;110,09
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;APIKOBAL PLUS;19.207.514;20.581.905;107,16
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;DİCLOFLAM;49.128.283;49.029.910;99,8
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;PARAFON ;41.214.232;38.553.546;93,54
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;EVASİF;20.167.493;17.408.217;86,32
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;OXFET;5.761.477;7.421.656;128,82
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;SİDATRİA;17.608.685;12.937.279;73,47
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;DRAXOL;10.478.634;8.168.661;77,96
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;ELEKTRA PLUS JEL;19.654.432;15.068.842;76,67
100235;TD - Hedef Ürünler Master Kota Realizasyonu (Net TL);1;MODET;22.753.658;22.730.304;99,9
