Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100654;BTMv2 - Gelişim İndeksi;1;105,513255;102,722689;97,12153653
100273;BTMv2 - Gelişim İndeksi;1;105,513255;101,2577364;96,18048688
100161;BTMv2 - Gelişim İndeksi;1;105,513255;104,3747366;99,29973315
102020;BTMv2 - Gelişim İndeksi;1;105,513255;101,252315;96,0161242
100139;BTMv2 - Gelişim İndeksi;1;105,513255;102,3803191;97,06805195
100416;BTMv2 - Gelişim İndeksi;1;105,513255;114,1565232;108,3437339
100343;BTMv2 - Gelişim İndeksi;1;105,513255;108,1263212;102,2596426
100524;BTMv2 - Gelişim İndeksi;1;105,513255;115,2855317;108,7647787
100796;BTMv2 - Gelişim İndeksi;1;103,6549333;103,7962783;100,4804736
100299;BTMv2 - Gelişim İndeksi;1;103,6549333;113,332555;109,4997152
100008;BTMv2 - Gelişim İndeksi;1;103,6549333;102,027471;97,91604609
100377;BTMv2 - Gelişim İndeksi;1;103,6549333;101,6883723;97,60169387
100387;BTMv2 - Gelişim İndeksi;1;103,6549333;103,3757453;99,98362389
100389;BTMv2 - Gelişim İndeksi;1;103,6549333;101,2132606;97,79065484
100285;BTMv2 - Gelişim İndeksi;1;103,6549333;103,4135704;99,69165087
100238;BTMv2 - Gelişim İndeksi;1;103,6549333;106,0400599;102,2643983
100784;BTMv2 - Gelişim İndeksi;1;147,0984158;146,2009872;97,01049971
100162;BTMv2 - Gelişim İndeksi;1;147,0984158;127,3385071;90,89032206
100198;BTMv2 - Gelişim İndeksi;1;147,0984158;216,665264;134,1511336
100087;BTMv2 - Gelişim İndeksi;1;147,0984158;162,2391088;108,789862
101980;BTMv2 - Gelişim İndeksi;1;100,8682626;102,5970953;101,2589961
100678;BTMv2 - Gelişim İndeksi;1;100,8682626;110,3687691;109,3262292
100690;BTMv2 - Gelişim İndeksi;1;100,8682626;98,58000333;97,71097174
100319;BTMv2 - Gelişim İndeksi;1;100,8682626;101,1273471;100,2562115
100084;BTMv2 - Gelişim İndeksi;1;119,0630819;114,1311013;96,67934362
100077;BTMv2 - Gelişim İndeksi;1;119,0630819;113,4903172;95,96706464
100493;BTMv2 - Gelişim İndeksi;1;119,0630819;118,1197178;98,86725619
100246;BTMv2 - Gelişim İndeksi;1;119,0630819;125,0303256;106,2464455
100302;BTMv2 - Gelişim İndeksi;1;119,0630819;119,0305188;99,88599075
100419;BTMv2 - Gelişim İndeksi;1;119,0630819;121,5514774;100,988356
100234;BTMv2 - Gelişim İndeksi;1;119,0630819;122,7502611;102,1961434
100268;BTMv2 - Gelişim İndeksi;1;98,62833298;100,091643;101,4536516
100295;BTMv2 - Gelişim İndeksi;1;98,62833298;96,25146975;97,61953588
100458;BTMv2 - Gelişim İndeksi;1;98,62833298;100,2760431;101,6898726
100586;BTMv2 - Gelişim İndeksi;1;98,62833298;96,89059684;98,26821665
100659;BTMv2 - Gelişim İndeksi;1;98,62833298;96,47387876;97,84076297
100297;BTMv2 - Gelişim İndeksi;1;98,62833298;99,19912105;100,5829794
100115;BTMv2 - Gelişim İndeksi;1;98,62833298;101,8586657;103,1935039
100311;BTMv2 - Gelişim İndeksi;1;98,62833298;100,2764044;101,6704648
