Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100654;BTMv2 - Gelişim İndeksi;1;109,4012669;105,6613221;96,45502301
100273;BTMv2 - Gelişim İndeksi;1;109,4012669;107,6701075;98,67672323
100161;BTMv2 - Gelişim İndeksi;1;109,4012669;107,7586798;98,79410084
102020;BTMv2 - Gelişim İndeksi;1;109,4012669;106,1286127;96,87783409
100139;BTMv2 - Gelişim İndeksi;1;109,4012669;106,1400278;96,96547753
100416;BTMv2 - Gelişim İndeksi;1;109,4012669;116,5585354;106,5932321
100343;BTMv2 - Gelişim İndeksi;1;109,4012669;110,3470107;100,8448483
100524;BTMv2 - Gelişim İndeksi;1;109,4012669;121,3599401;110,7390157
100796;BTMv2 - Gelişim İndeksi;1;103,6549333;103,7962783;100,4804736
100299;BTMv2 - Gelişim İndeksi;1;103,6549333;113,332555;109,4997152
100008;BTMv2 - Gelişim İndeksi;1;103,6549333;102,027471;97,91604609
100377;BTMv2 - Gelişim İndeksi;1;103,6549333;101,6883723;97,60169387
100387;BTMv2 - Gelişim İndeksi;1;103,6549333;103,3757453;99,98362389
100389;BTMv2 - Gelişim İndeksi;1;103,6549333;101,2132606;97,79065484
100285;BTMv2 - Gelişim İndeksi;1;103,6549333;103,4135704;99,69165087
100238;BTMv2 - Gelişim İndeksi;1;103,6549333;106,0400599;102,2643983
100784;BTMv2 - Gelişim İndeksi;1;147,0984158;146,2009872;97,01049971
100162;BTMv2 - Gelişim İndeksi;1;147,0984158;127,3385071;90,89032206
100198;BTMv2 - Gelişim İndeksi;1;147,0984158;216,665264;134,1511336
100087;BTMv2 - Gelişim İndeksi;1;147,0984158;162,2391088;108,789862
101980;BTMv2 - Gelişim İndeksi;1;100,8682626;102,5970953;101,2589961
100678;BTMv2 - Gelişim İndeksi;1;100,8682626;110,3687691;109,3262292
100690;BTMv2 - Gelişim İndeksi;1;100,8682626;98,58000333;97,71097174
100319;BTMv2 - Gelişim İndeksi;1;100,8682626;101,1273471;100,2562115
101986;BTMv2 - Gelişim İndeksi;1;100,8682626;101,7898625;101,084569
100084;BTMv2 - Gelişim İndeksi;1;119,0630819;114,1311013;96,67934362
100077;BTMv2 - Gelişim İndeksi;1;119,0630819;113,4903172;95,96706464
100493;BTMv2 - Gelişim İndeksi;1;119,0630819;118,1197178;98,86725619
100246;BTMv2 - Gelişim İndeksi;1;119,0630819;125,0303256;106,2464455
100302;BTMv2 - Gelişim İndeksi;1;119,0630819;119,0305188;99,88599075
100419;BTMv2 - Gelişim İndeksi;1;119,0630819;121,5514774;100,988356
100234;BTMv2 - Gelişim İndeksi;1;119,0630819;122,7502611;102,1961434
100268;BTMv2 - Gelişim İndeksi;1;97,5308067;98,81823844;101,302757
100295;BTMv2 - Gelişim İndeksi;1;97,5308067;95,12361667;97,55145002
100458;BTMv2 - Gelişim İndeksi;1;97,5308067;98,87622157;101,3649585
100586;BTMv2 - Gelişim İndeksi;1;97,5308067;96,07986892;98,52382414
100659;BTMv2 - Gelişim İndeksi;1;97,5308067;95,28744203;97,69909024
100297;BTMv2 - Gelişim İndeksi;1;97,5308067;98,28289438;100,8249952
100115;BTMv2 - Gelişim İndeksi;1;97,5308067;100,5766109;103,0862276
100311;BTMv2 - Gelişim İndeksi;1;97,5308067;99,77808823;102,3133088
