Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100084;BTMv2 - Pazar İndeksi;1;100;105,56;105,56
100654;BTMv2 - Pazar İndeksi;1;100;107,62;107,62
100268;BTMv2 - Pazar İndeksi;1;100;107;107
100295;BTMv2 - Pazar İndeksi;1;100;99,63;99,63
100796;BTMv2 - Pazar İndeksi;1;100;118,78;118,78
100458;BTMv2 - Pazar İndeksi;1;100;107,05;107,05
100586;BTMv2 - Pazar İndeksi;1;100;88,81;88,81
100161;BTMv2 - Pazar İndeksi;1;100;116,22;116,22
100659;BTMv2 - Pazar İndeksi;1;100;87,06;87,06
101980;BTMv2 - Pazar İndeksi;1;100;107,91;107,91
100299;BTMv2 - Pazar İndeksi;1;100;70,91;70,91
100784;BTMv2 - Pazar İndeksi;1;100;67,9;67,9
100008;BTMv2 - Pazar İndeksi;1;100;105,46;105,46
100077;BTMv2 - Pazar İndeksi;1;100;101,42;101,42
100678;BTMv2 - Pazar İndeksi;1;100;131,15;131,15
102020;BTMv2 - Pazar İndeksi;1;100;98,55;98,55
100690;BTMv2 - Pazar İndeksi;1;100;84,88;84,88
100162;BTMv2 - Pazar İndeksi;1;100;127,15;127,15
100493;BTMv2 - Pazar İndeksi;1;100;103,8;103,8
100297;BTMv2 - Pazar İndeksi;1;100;120,09;120,09
100273;BTMv2 - Pazar İndeksi;1;100;96,32;96,32
100115;BTMv2 - Pazar İndeksi;1;100;114,14;114,14
100198;BTMv2 - Pazar İndeksi;1;100;124,73;124,73
100246;BTMv2 - Pazar İndeksi;1;100;93,08;93,08
100377;BTMv2 - Pazar İndeksi;1;100;128,73;128,73
100139;BTMv2 - Pazar İndeksi;1;100;99,59;99,59
100416;BTMv2 - Pazar İndeksi;1;100;109,35;109,35
100319;BTMv2 - Pazar İndeksi;1;100;103,52;103,52
100387;BTMv2 - Pazar İndeksi;1;100;120,7;120,7
100389;BTMv2 - Pazar İndeksi;1;100;92,5;92,5
100311;BTMv2 - Pazar İndeksi;1;100;126,23;126,23
101986;BTMv2 - Pazar İndeksi;1;100;103,3;103,3
100302;BTMv2 - Pazar İndeksi;1;100;122,65;122,65
100087;BTMv2 - Pazar İndeksi;1;100;101,96;101,96
100419;BTMv2 - Pazar İndeksi;1;100;112,15;112,15
100343;BTMv2 - Pazar İndeksi;1;100;104,15;104,15
100234;BTMv2 - Pazar İndeksi;1;100;102,98;102,98
100285;BTMv2 - Pazar İndeksi;1;100;93,52;93,52
100524;BTMv2 - Pazar İndeksi;1;100;103,26;103,26
100238;BTMv2 - Pazar İndeksi;1;100;95,53;95,53
