Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100139;BTMv2 - Medikal Sınav Başarısı;1;99,5;98;98,5
100161;BTMv2 - Medikal Sınav Başarısı;1;99,5;100;100,5
100273;BTMv2 - Medikal Sınav Başarısı;1;99,5;100;100,5
100343;BTMv2 - Medikal Sınav Başarısı;1;99,5;100;100,5
100416;BTMv2 - Medikal Sınav Başarısı;1;99,5;98;98,5
100524;BTMv2 - Medikal Sınav Başarısı;1;99,5;100;100,5
100654;BTMv2 - Medikal Sınav Başarısı;1;99,5;100;100,5
102020;BTMv2 - Medikal Sınav Başarısı;1;99,5;100;100,5
100008;BTMv2 - Medikal Sınav Başarısı;1;99,3;98;98,7
100238;BTMv2 - Medikal Sınav Başarısı;1;99,3;96;96,7
100285;BTMv2 - Medikal Sınav Başarısı;1;99,3;100;100,8
100299;BTMv2 - Medikal Sınav Başarısı;1;99,3;100;100,8
100377;BTMv2 - Medikal Sınav Başarısı;1;99,3;100;100,8
100387;BTMv2 - Medikal Sınav Başarısı;1;99,3;100;100,8
100389;BTMv2 - Medikal Sınav Başarısı;1;99,3;100;100,8
100796;BTMv2 - Medikal Sınav Başarısı;1;99,3;100;100,8
100074;BTMv2 - Medikal Sınav Başarısı;1;97,6;96;98,4
100087;BTMv2 - Medikal Sınav Başarısı;1;97,6;96;98,4
100162;BTMv2 - Medikal Sınav Başarısı;1;97,6;100;102,5
100198;BTMv2 - Medikal Sınav Başarısı;1;97,6;96;98,4
100784;BTMv2 - Medikal Sınav Başarısı;1;97,6;100;102,5
100088;BTMv2 - Medikal Sınav Başarısı;1;99;98;99
100319;BTMv2 - Medikal Sınav Başarısı;1;99;100;101
100678;BTMv2 - Medikal Sınav Başarısı;1;99;100;101
100690;BTMv2 - Medikal Sınav Başarısı;1;99;100;101
101980;BTMv2 - Medikal Sınav Başarısı;1;99;98;99
101986;BTMv2 - Medikal Sınav Başarısı;1;99;98;99
100077;BTMv2 - Medikal Sınav Başarısı;1;98,5;98;99,5
100084;BTMv2 - Medikal Sınav Başarısı;1;98,5;98;99,5
100234;BTMv2 - Medikal Sınav Başarısı;1;98,5;100;101,5
100246;BTMv2 - Medikal Sınav Başarısı;1;98,5;100;101,5
100302;BTMv2 - Medikal Sınav Başarısı;1;98,5;100;101,5
100313;BTMv2 - Medikal Sınav Başarısı;1;98,5;96;97,5
100419;BTMv2 - Medikal Sınav Başarısı;1;98,5;98;99,5
100493;BTMv2 - Medikal Sınav Başarısı;1;98,5;98;99,5
100115;BTMv2 - Medikal Sınav Başarısı;1;95,5;96;100,5
100268;BTMv2 - Medikal Sınav Başarısı;1;95,5;100;104,7
100295;BTMv2 - Medikal Sınav Başarısı;1;95,5;100;104,7
100297;BTMv2 - Medikal Sınav Başarısı;1;95,5;96;100,5
100311;BTMv2 - Medikal Sınav Başarısı;1;95,5;80;83,8
100458;BTMv2 - Medikal Sınav Başarısı;1;95,5;100;104,7
100586;BTMv2 - Medikal Sınav Başarısı;1;95,5;100;104,7
100659;BTMv2 - Medikal Sınav Başarısı;1;95,5;92;96,3
100115;BTMv2 - Medikal Sınav Başarısı;1;95;92;96,8
100268;BTMv2 - Medikal Sınav Başarısı;1;95;96;101,1
100295;BTMv2 - Medikal Sınav Başarısı;1;95;96;101,1
100297;BTMv2 - Medikal Sınav Başarısı;1;95;96;101,1
100311;BTMv2 - Medikal Sınav Başarısı;1;95;100;105,3
100458;BTMv2 - Medikal Sınav Başarısı;1;95;96;101,1
100586;BTMv2 - Medikal Sınav Başarısı;1;95;92;96,8
100659;BTMv2 - Medikal Sınav Başarısı;1;95;92;96,8
