Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100139;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100161;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100273;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100343;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100416;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100524;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100654;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
102020;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100008;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100238;BTMv2 - Medikal Sınav Başarısı;1;100;96;96
100285;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100299;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100377;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100387;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100389;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100796;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100087;BTMv2 - Medikal Sınav Başarısı;1;100;96;96
100162;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100198;BTMv2 - Medikal Sınav Başarısı;1;100;96;96
100784;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100319;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100678;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100690;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
101980;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
101986;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100077;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100084;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100234;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100246;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100302;BTMv2 - Medikal Sınav Başarısı;1;100;100;100
100419;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100493;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100115;BTMv2 - Medikal Sınav Başarısı;1;100;94;94
100268;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100295;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100297;BTMv2 - Medikal Sınav Başarısı;1;100;96;96
100311;BTMv2 - Medikal Sınav Başarısı;1;100;90;90
100458;BTMv2 - Medikal Sınav Başarısı;1;100;98;98
100586;BTMv2 - Medikal Sınav Başarısı;1;100;96;96
100659;BTMv2 - Medikal Sınav Başarısı;1;100;92;92
