Çalışan Sicil No;Gösterge Adı ;Periyod;Hedef Ürün;Planlanan;Gerçekleşen;Sonuç 
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;695496;530306;90,53
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5865513;6465333;107,10
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;116242;216783;120,22
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;5021654;4886750;101,73
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;728173;682806;111,33
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;4739009;3691808;75,70
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;94976;142922;97,01
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;4953741;4388111;92,60
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;936648;492698;62,45
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5854209;4971029;82,51
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;105017;125318;76,92
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;5478810;5569488;106,27
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;767738;968380;149,75
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;2507219;1352975;52,43
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;91157;218809;154,73
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;2584994;1844320;74,58
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;590969;550939;110,68
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5092858;5867716;111,95
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;70067;128386;118,12
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;3952055;3722932;98,48
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;758345;800189;125,28
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;7078114;8543069;117,28
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;93789;172939;118,86
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;4861611;4833389;103,93
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;842770;509586;71,79
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;7048844;6949215;95,79
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;132118;150692;73,53
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;6250591;6333406;105,92
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;1102154;952868;102,64
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;8448729;10655654;122,55
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;122579;158344;83,27
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;6293847;6550996;108,81
