Çalışan Sicil No;Gösterge Adı ;Periyod;Hedef Ürün;Planlanan;Gerçekleşen;Sonuç 
100524;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;1115908,67;1190889,48;114,05
100273;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;997681,69;898883,98;96,29
100343;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;1237950,66;1110471,70;95,86
100139;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;1138277,53;928786,84;87,20
100161;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;906351,19;971176,82;114,51
100416;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;1160911,93;1196091,16;110,11
102020;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;916094,14;638667,44;74,50
100524;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;2031686,74;2008179,01;114,31
100273;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;1740628,92;1130029,40;75,08
100343;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;2195734,64;2002146,17;105,45
100139;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;2660492,67;2437524,04;105,96
100161;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;1850941,16;1525775,32;95,33
100416;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;2019293,27;2074035,63;118,79
102020;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;2244726,43;1701871,18;87,68
100524;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;1737780,85;2634494,04;142,27
100273;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;2417812,97;2255470,20;87,54
100343;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;3508197,05;3022939,05;80,86
100139;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;2921598,32;3093777,65;99,37
100161;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;2189185,44;2516693,67;107,88
100416;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;2272218,32;2678967,53;110,64
102020;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;2766426,58;3195905,51;108,41
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;842769,92;509585,89;71,79
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;590969,11;550938,60;110,68
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;695495,82;530306,39;90,53
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;936648,18;492697,97;62,45
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;758344,70;800188,96;125,28
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;728173,21;682805,56;111,33
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;767737,72;968379,56;149,75
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;1102154,41;952867,77;102,64
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;6592758,93;6587074,98;98,15
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;4767805,81;5495427,71;113,23
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5463852,96;5793935,17;104,17
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;5468800,84;4557542,23;81,87
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;6622243,94;7780472,04;115,42
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;4433536,54;3484569,39;77,21
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;2336738,04;1357458,36;57,07
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DICLOFLAM;7894158,09;9770730,23;121,59
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;59937,94;84836,71;90,40
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;30671,65;60937,66;126,90
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;52360,55;75749,17;92,40
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;48060,30;63868,49;84,88
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;42355,53;85230,11;128,52
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;42701,93;59855,81;89,53
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;41239,06;91465,50;141,66
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ENORNO;56156,83;75631,15;86,02
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;5970035,87;5820213,23;107,84
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;3768917,21;3312792,55;97,23
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;4780403,39;4279349,47;99,02
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;5223244,71;5066189,01;107,29
100387;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;4630700,01;4370023,13;104,39
100238;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;4731399,58;3942566,73;92,18
100299;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;2455512,65;1685517,95;75,93
100796;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PARAFON;6009534,71;5872853,16;108,10
100198;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;EVASIF;4004537,88;3765632,28;102,96
100087;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;EVASIF;3843970,11;3133285,70;89,25
100162;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;EVASIF;3760523,21;3489171,91;101,60
100784;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;EVASIF;3383915,80;3339961,89;108,07
100198;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;OXFET;476731,51;688141,22;134,80
100087;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;OXFET;2596124,38;2721813,64;97,91
100162;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;OXFET;937072,39;1117157,27;111,33
100784;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;OXFET;644460,99;442082,27;64,06
100198;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SIDATRIA;3729658,14;3289879,66;102,53
100087;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SIDATRIA;1612538,40;1513138,39;109,07
100162;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SIDATRIA;2215372,80;2378668,00;124,80
100784;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SIDATRIA;4861236,71;3709144,12;88,69
100198;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ZENTICAVIR;2658815,11;2507608,88;104,39
100087;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ZENTICAVIR;2692347,94;2353415,06;96,75
100162;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ZENTICAVIR;2557210,53;2321152,35;100,47
100784;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ZENTICAVIR;2117911,96;2065439,71;107,94
100690;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ACETUDIL;1304440,28;1095748,12;76,93
100319;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ACETUDIL;1644649,35;2017885,66;112,37
100678;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ACETUDIL;1544204,70;1973605,69;117,05
101980;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ACETUDIL;1654923,71;1710811,16;94,68
101986;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ACETUDIL;2112211,59;2439334,18;105,77
100690;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;3218039,26;2561448,34;78,39
100319;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;2762618,90;2520781,34;89,86
100678;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;2002796,28;2575862,92;126,67
101980;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;3229097,58;2658991,11;81,10
101986;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;4264313,08;4271942,63;98,66
100690;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2588683,31;2349078,04;92,55
100319;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2308687,41;2496036,40;110,27
100678;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2093504,12;2197684,28;107,06
101980;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;3175083,67;3336698,10;107,18
101986;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2836896,09;2813352,28;101,14
100690;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;102110,23;82181,00;90,84
100319;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;80526,82;70179,20;98,36
100678;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;57963,83;62997,40;122,67
101980;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;93433,01;79915,60;96,54
101986;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;126628,62;113414,60;101,09
100302;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;346600,02;353495,10;151,99
100077;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;459089,01;300461,70;97,53
100084;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;580828,56;324208,50;83,18
100493;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;587885,07;342850,20;86,91
100234;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;523785,95;304453,80;86,62
100419;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;457642,78;377441,40;122,91
100246;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;375138,71;301066,50;119,60
100302;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;51989,65;138105,58;133,20
100077;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;64610,13;106511,96;82,66
