Çalışan Sicil No;Gösterge Adı ;Periyot;Sonuç 
100161;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;103,80
100524;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;107,72
100416;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;104,58
100654;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;99,37
100139;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;100,95
100343;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;96,91
102020;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;99,35
100273;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;96,70
100377;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;113,49
100387;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;109,51
100796;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;105,79
100008;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;103,62
100238;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;94,13
100285;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;95,00
100389;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;92,39
100299;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;90,37
100678;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;118,13
100319;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;103,91
101980;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;99,48
101986;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;99,06
100690;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;89,45
100302;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;113,78
100419;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;108,18
100077;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;104,92
100246;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;103,59
100234;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;96,48
100493;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;95,88
100084;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;95,44
100311;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;100,33
100297;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;112,26
100268;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;103,72
100115;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;105,06
100458;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;104,03
100295;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;96,93
100586;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;92,61
100659;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;91,79
100162;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;119,53
100087;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;107,69
100198;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;130,38
100784;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;86,99
