Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100161;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;11455819,54;11726247,8;103,8035226
100524;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;11583794,11;12304920,56;107,7226857
100416;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;14076539,39;14517038,99;104,5830567
100139;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;17246745,21;17168026,69;100,9467683
100343;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;17441662,52;16666991,51;96,9055215
102020;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;16656664,91;16318124,23;99,34851367
100273;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;13138591,9;12528389,76;96,69980992
100377;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;16607477,02;19753304,12;113,4878638
100387;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;21521802,2;24702162,67;109,5140079
100796;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;26867459,69;29790283,21;105,7887593
100008;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;19228790,97;20881705,46;103,6161183
100238;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;19523129,11;19259934,08;94,12797189
100285;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;23564480,09;23463202,29;95,00418878
100389;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;23132998,73;22400190,47;92,39173198
100299;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;13035339,33;12346334,86;90,37099043
100678;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;12767656,18;15099501,8;118,1309287
100319;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;17224533,19;17918894,55;103,9144474
101980;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;20706758,08;20621539,74;99,47665176
101986;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;23042647;22851801,72;99,06044159
100690;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;18366905,74;16447275,34;89,44789921
100302;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;10197955,49;13106051,29;113,7786448
100419;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;13526846,56;16528573,76;108,1784668
100077;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;13564420,13;16075953,19;104,9246444
100246;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;11537131,16;13498917,46;103,58649
100234;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;17412045,59;18976105,18;96,48488618
100493;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;21731777,21;23536273,06;95,88362739
100084;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;22681454,71;24452328,84;95,44459248
100311;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;18623725,41;19694133,49;100,3265729
100297;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;13079333,23;13997410,33;112,2628626
100268;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;17326815,39;17458791,32;103,7222415
100115;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;17256561,22;17455206,48;105,0599291
100458;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;20250209,39;20407550,06;104,0309387
100295;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;24623867,54;23094632,74;96,93090427
100586;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;21963577,52;19852815,19;92,60914421
100659;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;23240164,23;20753346,5;91,78595181
100162;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;10939906,18;10787088,61;119,5325941
100087;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;12501974,53;11607028,62;107,690013
100198;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;12554849,01;11710641,65;130,3790703
100784;BTM - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;12384536,65;10831615,76;86,99316572
