Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100506;TSMv2 - Gelişim İndeksi;1;105,513255;141,5515212;134,062339
100336;TSMv2 - Gelişim İndeksi;1;105,513255;110,6006111;105,011669
100711;TSMv2 - Gelişim İndeksi;1;105,513255;102,6601936;97,01756995
100626;TSMv2 - Gelişim İndeksi;1;105,513255;110,4361503;104,9382957
100444;TSMv2 - Gelişim İndeksi;1;105,513255;94,11825951;89,48387555
100462;TSMv2 - Gelişim İndeksi;1;105,513255;109,7007633;103,8804929
100727;TSMv2 - Gelişim İndeksi;1;105,513255;146,04458;139,047939
100574;TSMv2 - Gelişim İndeksi;1;105,513255;106,6845306;102,608453
100467;TSMv2 - Gelişim İndeksi;1;105,513255;106,7862257;101,829987
100103;TSMv2 - Gelişim İndeksi;1;105,513255;99,02170234;93,95590599
100250;TSMv2 - Gelişim İndeksi;1;105,513255;100,4611708;94,09090961
100662;TSMv2 - Gelişim İndeksi;1;105,513255;90,13044407;85,083618
100581;TSMv2 - Gelişim İndeksi;1;105,513255;104,0968051;98,47969866
100272;TSMv2 - Gelişim İndeksi;1;105,513255;108,5844287;103,1962484
100293;TSMv2 - Gelişim İndeksi;1;105,513255;102,1403451;96,74895704
100358;TSMv2 - Gelişim İndeksi;1;105,513255;100,1904922;95,03409988
100356;TSMv2 - Gelişim İndeksi;1;105,513255;104,8082725;99,64234334
100438;TSMv2 - Gelişim İndeksi;1;105,513255;104,5223201;98,7245635
100496;TSMv2 - Gelişim İndeksi;1;105,513255;101,1841872;96,88760207
100342;TSMv2 - Gelişim İndeksi;1;105,513255;92,80516949;87,96265994
100196;TSMv2 - Gelişim İndeksi;1;105,513255;101,7066578;95,92316576
100457;TSMv2 - Gelişim İndeksi;1;105,513255;88,7770851;83,83054677
100720;TSMv2 - Gelişim İndeksi;1;105,513255;102,2147746;96,95816546
100240;TSMv2 - Gelişim İndeksi;1;105,513255;104,2926769;98,59117214
100671;TSMv2 - Gelişim İndeksi;1;105,513255;106,5877303;100,9271806
100332;TSMv2 - Gelişim İndeksi;1;105,513255;127,0680327;121,0231479
100324;TSMv2 - Gelişim İndeksi;1;105,513255;104,5562907;98,30546081
100122;TSMv2 - Gelişim İndeksi;1;105,513255;118,1731553;111,806811
100538;TSMv2 - Gelişim İndeksi;1;105,513255;118,5175263;112,1382376
100329;TSMv2 - Gelişim İndeksi;1;105,513255;108,9256939;103,8247534
100360;TSMv2 - Gelişim İndeksi;1;105,513255;108,4002188;103,3692933
100707;TSMv2 - Gelişim İndeksi;1;105,513255;111,6759061;105,1886138
100361;TSMv2 - Gelişim İndeksi;1;105,513255;118,310985;111,6232448
100466;TSMv2 - Gelişim İndeksi;1;105,513255;114,1908517;107,982335
100247;TSMv2 - Gelişim İndeksi;1;105,513255;112,2827025;105,8421579
100449;TSMv2 - Gelişim İndeksi;1;105,513255;97,47396234;91,95214353
100864;TSMv2 - Gelişim İndeksi;1;105,513255;112,7916021;105,4913408
100947;TSMv2 - Gelişim İndeksi;1;105,513255;104,3050716;98,83786066
100948;TSMv2 - Gelişim İndeksi;1;105,513255;100,1425438;94,50065756
101460;TSMv2 - Gelişim İndeksi;1;105,513255;104,5571978;98,05451761
101463;TSMv2 - Gelişim İndeksi;1;105,513255;109,9606581;103,46318
101558;TSMv2 - Gelişim İndeksi;1;105,513255;121,7941375;113,0361701
101655;TSMv2 - Gelişim İndeksi;1;105,513255;107,8251066;101,8149149
101659;TSMv2 - Gelişim İndeksi;1;105,513255;92,85964191;88,72277459
101692;TSMv2 - Gelişim İndeksi;1;105,513255;113,4063589;105,7981794
101798;TSMv2 - Gelişim İndeksi;1;105,513255;101,6661941;97,08523949
101804;TSMv2 - Gelişim İndeksi;1;105,513255;105,65139;99,41400655
101806;TSMv2 - Gelişim İndeksi;1;105,513255;101,2883168;95,90660807
101912;TSMv2 - Gelişim İndeksi;1;105,513255;104,1220261;98,48853644
101915;TSMv2 - Gelişim İndeksi;1;105,513255;101,8182093;97,50783755
101917;TSMv2 - Gelişim İndeksi;1;105,513255;98,12829602;92,73469031
101919;TSMv2 - Gelişim İndeksi;1;105,513255;125,7228719;117,9196598
101920;TSMv2 - Gelişim İndeksi;1;105,513255;109,4546774;102,7570434
101929;TSMv2 - Gelişim İndeksi;1;105,513255;121,3971234;114,7404393
102000;TSMv2 - Gelişim İndeksi;1;105,513255;98,96246307;95,2349402
102123;TSMv2 - Gelişim İndeksi;1;105,513255;113,9273624;107,1262648
102124;TSMv2 - Gelişim İndeksi;1;105,513255;104,0973346;98,68366713
102135;TSMv2 - Gelişim İndeksi;1;105,513255;104,7473393;98,66566905
102138;TSMv2 - Gelişim İndeksi;1;105,513255;112,6868191;105,9111778
102265;TSMv2 - Gelişim İndeksi;1;105,513255;111,7780755;107,1027256
102268;TSMv2 - Gelişim İndeksi;1;105,513255;110,2059934;104,7537308
102274;TSMv2 - Gelişim İndeksi;1;105,513255;104,5351682;98,48220976
102284;TSMv2 - Gelişim İndeksi;1;105,513255;101,7865348;96,85340261
102287;TSMv2 - Gelişim İndeksi;1;105,513255;107,0698811;101,2904692
102290;TSMv2 - Gelişim İndeksi;1;105,513255;128,0817898;120,5333699
102291;TSMv2 - Gelişim İndeksi;1;105,513255;113,1146742;106,9233852
102354;TSMv2 - Gelişim İndeksi;1;105,513255;121,6927787;115,8306665
102359;TSMv2 - Gelişim İndeksi;1;105,513255;111,7388779;106,3036465
102369;TSMv2 - Gelişim İndeksi;1;105,513255;158,064713;149,4431702
102376;TSMv2 - Gelişim İndeksi;1;105,513255;126,3709035;120,2420465
102387;TSMv2 - Gelişim İndeksi;1;105,513255;129,3851477;123,1794027
102400;TSMv2 - Gelişim İndeksi;1;105,513255;100,0616484;94,34262324
100461;TSMv2 - Gelişim İndeksi;1;103,6549333;109,2497961;105,4387076
100460;TSMv2 - Gelişim İndeksi;1;103,6549333;101,2573579;97,87756567
100579;TSMv2 - Gelişim İndeksi;1;103,6549333;98,79741198;96,37124772
100686;TSMv2 - Gelişim İndeksi;1;103,6549333;100,4508919;97,32356863
100357;TSMv2 - Gelişim İndeksi;1;103,6549333;104,9615471;100,7659988
100674;TSMv2 - Gelişim İndeksi;1;103,6549333;103,1690198;99,31440962
100650;TSMv2 - Gelişim İndeksi;1;103,6549333;101,6712028;97,57430257
100540;TSMv2 - Gelişim İndeksi;1;103,6549333;106,5285753;103,36866
