Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100657;TSMv2 - Gelişim İndeksi;1;100,87;115,21;113,77
100344;TSMv2 - Gelişim İndeksi;1;100,87;102,55;102,31
100398;TSMv2 - Gelişim İndeksi;1;100,87;100,75;100,23
100294;TSMv2 - Gelişim İndeksi;1;100,87;96,30;96,24
100296;TSMv2 - Gelişim İndeksi;1;100,87;96,26;95,50
100260;TSMv2 - Gelişim İndeksi;1;100,87;112,55;111,70
100404;TSMv2 - Gelişim İndeksi;1;100,87;95,95;94,76
100768;TSMv2 - Gelişim İndeksi;1;100,87;132,16;131,58
100801;TSMv2 - Gelişim İndeksi;1;100,87;111,01;110,16
101821;TSMv2 - Gelişim İndeksi;1;100,87;99,70;98,84
101947;TSMv2 - Gelişim İndeksi;1;100,87;103,24;102,98
101948;TSMv2 - Gelişim İndeksi;1;100,87;116,16;115,59
102141;TSMv2 - Gelişim İndeksi;1;100,87;113,92;113,31
102258;TSMv2 - Gelişim İndeksi;1;100,87;95,04;93,99
102277;TSMv2 - Gelişim İndeksi;1;100,87;98,87;98,25
102379;TSMv2 - Gelişim İndeksi;1;100,87;97,48;97,02
102395;TSMv2 - Gelişim İndeksi;1;100,87;105,24;105,02
100594;TSMv2 - Gelişim İndeksi;1;119,06;116,97;98,26
100470;TSMv2 - Gelişim İndeksi;1;100,87;91,79;91,15
101823;TSMv2 - Gelişim İndeksi;1;100,87;104,83;103,71
