Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100538;TSMv2 - Pazar İndeksi;1;100;214,6738721;214,6738721
102265;TSMv2 - Pazar İndeksi;1;100;139,1538755;139,1538755
100466;TSMv2 - Pazar İndeksi;1;100;128,4592405;128,4592405
102290;TSMv2 - Pazar İndeksi;1;100;168,9906693;168,9906693
100720;TSMv2 - Pazar İndeksi;1;100;115,4486733;115,4486733
102000;TSMv2 - Pazar İndeksi;1;100;126,7936442;126,7936442
100361;TSMv2 - Pazar İndeksi;1;100;107,9759373;107,9759373
100329;TSMv2 - Pazar İndeksi;1;100;141,2816843;141,2816843
100332;TSMv2 - Pazar İndeksi;1;100;100,0776384;100,0776384
102359;TSMv2 - Pazar İndeksi;1;100;131,0336987;131,0336987
101655;TSMv2 - Pazar İndeksi;1;100;142,7282905;142,7282905
102123;TSMv2 - Pazar İndeksi;1;100;134,9952434;134,9952434
100626;TSMv2 - Pazar İndeksi;1;100;117,5027644;117,5027644
100356;TSMv2 - Pazar İndeksi;1;100;164,7156229;164,7156229
100196;TSMv2 - Pazar İndeksi;1;100;103,4735636;103,4735636
100438;TSMv2 - Pazar İndeksi;1;100;121,4097908;121,4097908
100467;TSMv2 - Pazar İndeksi;1;100;142,8700376;142,8700376
100272;TSMv2 - Pazar İndeksi;1;100;99,65164353;99,65164353
100103;TSMv2 - Pazar İndeksi;1;100;98,63625954;98,63625954
101558;TSMv2 - Pazar İndeksi;1;100;106,0212784;106,0212784
102124;TSMv2 - Pazar İndeksi;1;100;112,9575343;112,9575343
100240;TSMv2 - Pazar İndeksi;1;100;115,0057375;115,0057375
100948;TSMv2 - Pazar İndeksi;1;100;105,3360575;105,3360575
101919;TSMv2 - Pazar İndeksi;1;100;121,047764;121,047764
101920;TSMv2 - Pazar İndeksi;1;100;100,8813661;100,8813661
100727;TSMv2 - Pazar İndeksi;1;100;163,1933375;163,1933375
100496;TSMv2 - Pazar İndeksi;1;100;109,5973371;109,5973371
100122;TSMv2 - Pazar İndeksi;1;100;105,8509478;105,8509478
100247;TSMv2 - Pazar İndeksi;1;100;104,0837953;104,0837953
100947;TSMv2 - Pazar İndeksi;1;100;104,2664868;104,2664868
101929;TSMv2 - Pazar İndeksi;1;100;92,3221263;92,3221263
102268;TSMv2 - Pazar İndeksi;1;100;108,6507661;108,6507661
100293;TSMv2 - Pazar İndeksi;1;100;101,4446844;101,4446844
100487;TSMv2 - Pazar İndeksi;1;100;67,18501232;67,18501232
100574;TSMv2 - Pazar İndeksi;1;100;128,022153;128,022153
101659;TSMv2 - Pazar İndeksi;1;100;97,70907282;97,70907282
100358;TSMv2 - Pazar İndeksi;1;100;88,89704719;88,89704719
101915;TSMv2 - Pazar İndeksi;1;100;111,8510194;111,8510194
100360;TSMv2 - Pazar İndeksi;1;100;116,1675925;116,1675925
101806;TSMv2 - Pazar İndeksi;1;100;128,2274455;128,2274455
100444;TSMv2 - Pazar İndeksi;1;100;98,93448008;98,93448008
102354;TSMv2 - Pazar İndeksi;1;100;87,27609773;87,27609773
101692;TSMv2 - Pazar İndeksi;1;100;114,9503794;114,9503794
101463;TSMv2 - Pazar İndeksi;1;100;116,0706827;116,0706827
102291;TSMv2 - Pazar İndeksi;1;100;100,0791651;100,0791651
100462;TSMv2 - Pazar İndeksi;1;100;102,6332916;102,6332916
100506;TSMv2 - Pazar İndeksi;1;100;81,45039664;81,45039664
102376;TSMv2 - Pazar İndeksi;1;100;81,66187283;81,66187283
100581;TSMv2 - Pazar İndeksi;1;100;98,97224389;98,97224389
102274;TSMv2 - Pazar İndeksi;1;100;127,5900238;127,5900238
100336;TSMv2 - Pazar İndeksi;1;100;111,9694029;111,9694029
101549;TSMv2 - Pazar İndeksi;1;100;75,26597543;75,26597543
100671;TSMv2 - Pazar İndeksi;1;100;105,1876615;105,1876615
102135;TSMv2 - Pazar İndeksi;1;100;114,4802419;114,4802419
101804;TSMv2 - Pazar İndeksi;1;100;93,07240778;93,07240778
100711;TSMv2 - Pazar İndeksi;1;100;102,9731536;102,9731536
101912;TSMv2 - Pazar İndeksi;1;100;86,44364119;86,44364119
100457;TSMv2 - Pazar İndeksi;1;100;95,88191049;95,88191049
101460;TSMv2 - Pazar İndeksi;1;100;97,22599475;97,22599475
100707;TSMv2 - Pazar İndeksi;1;100;98,01635461;98,01635461
100324;TSMv2 - Pazar İndeksi;1;100;79,42441722;79,42441722
100250;TSMv2 - Pazar İndeksi;1;100;88,48157459;88,48157459
102369;TSMv2 - Pazar İndeksi;1;100;100,6210264;100,6210264
100449;TSMv2 - Pazar İndeksi;1;100;93,69576661;93,69576661
102400;TSMv2 - Pazar İndeksi;1;100;106,4778557;106,4778557
100662;TSMv2 - Pazar İndeksi;1;100;90,93563387;90,93563387
101798;TSMv2 - Pazar İndeksi;1;100;70,00707905;70,00707905
100342;TSMv2 - Pazar İndeksi;1;100;89,43185011;89,43185011
102287;TSMv2 - Pazar İndeksi;1;100;85,37078812;85,37078812
102284;TSMv2 - Pazar İndeksi;1;100;80,73017827;80,73017827
102387;TSMv2 - Pazar İndeksi;1;100;84,52088779;84,52088779
101917;TSMv2 - Pazar İndeksi;1;100;92,14302667;92,14302667
102138;TSMv2 - Pazar İndeksi;1;100;76,70878935;76,70878935
100864;TSMv2 - Pazar İndeksi;1;100;75,50121915;75,50121915
101568;TSMv2 - Pazar İndeksi;1;100;203,8220547;203,8220547
100658;TSMv2 - Pazar İndeksi;1;100;195,5845767;195,5845767
100253;TSMv2 - Pazar İndeksi;1;100;183,2870085;183,2870085
100718;TSMv2 - Pazar İndeksi;1;100;156,3670706;156,3670706
100661;TSMv2 - Pazar İndeksi;1;100;164,4433138;164,4433138
100242;TSMv2 - Pazar İndeksi;1;100;127,1062198;127,1062198
100461;TSMv2 - Pazar İndeksi;1;100;138,8358664;138,8358664
100668;TSMv2 - Pazar İndeksi;1;100;143,643611;143,643611
100460;TSMv2 - Pazar İndeksi;1;100;128,1420125;128,1420125
102261;TSMv2 - Pazar İndeksi;1;100;122,2399679;122,2399679
101810;TSMv2 - Pazar İndeksi;1;100;111,5574151;111,5574151
100515;TSMv2 - Pazar İndeksi;1;100;142,6778596;142,6778596
100502;TSMv2 - Pazar İndeksi;1;100;117,3902245;117,3902245
100322;TSMv2 - Pazar İndeksi;1;100;134,4413054;134,4413054
101562;TSMv2 - Pazar İndeksi;1;100;107,0364669;107,0364669
100204;TSMv2 - Pazar İndeksi;1;100;111,4980376;111,4980376
100525;TSMv2 - Pazar İndeksi;1;100;138,3125808;138,3125808
100528;TSMv2 - Pazar İndeksi;1;100;138,2321906;138,2321906
100355;TSMv2 - Pazar İndeksi;1;100;117,0197133;117,0197133
100328;TSMv2 - Pazar İndeksi;1;100;117,1084074;117,1084074
101796;TSMv2 - Pazar İndeksi;1;100;105,7814164;105,7814164
101818;TSMv2 - Pazar İndeksi;1;100;96,74266329;96,74266329
102137;TSMv2 - Pazar İndeksi;1;100;102,9001662;102,9001662
100862;TSMv2 - Pazar İndeksi;1;100;123,0307501;123,0307501
100584;TSMv2 - Pazar İndeksi;1;100;104,7008583;104,7008583
100509;TSMv2 - Pazar İndeksi;1;100;104,4575693;104,4575693
100298;TSMv2 - Pazar İndeksi;1;100;103,4329491;103,4329491
100333;TSMv2 - Pazar İndeksi;1;100;114,0392421;114,0392421
101829;TSMv2 - Pazar İndeksi;1;100;96,33033173;96,33033173
101816;TSMv2 - Pazar İndeksi;1;100;116,517219;116,517219
102381;TSMv2 - Pazar İndeksi;1;100;90,8123337;90,8123337
101925;TSMv2 - Pazar İndeksi;1;100;101,3027007;101,3027007
102360;TSMv2 - Pazar İndeksi;1;100;111,5833064;111,5833064
100522;TSMv2 - Pazar İndeksi;1;100;102,2596414;102,2596414
100529;TSMv2 - Pazar İndeksi;1;100;112,0900265;112,0900265
100392;TSMv2 - Pazar İndeksi;1;100;104,7765463;104,7765463
100379;TSMv2 - Pazar İndeksi;1;100;108,8029596;108,8029596
101841;TSMv2 - Pazar İndeksi;1;100;86,20322869;86,20322869
101023;TSMv2 - Pazar İndeksi;1;100;93,33297083;93,33297083
100950;TSMv2 - Pazar İndeksi;1;100;102,8031396;102,8031396
102260;TSMv2 - Pazar İndeksi;1;100;102,7185987;102,7185987
101276;TSMv2 - Pazar İndeksi;1;100;88,50832397;88,50832397
102140;TSMv2 - Pazar İndeksi;1;100;86,83540627;86,83540627
100335;TSMv2 - Pazar İndeksi;1;100;86,99622175;86,99622175
102357;TSMv2 - Pazar İndeksi;1;100;82,04783971;82,04783971
101547;TSMv2 - Pazar İndeksi;1;100;83,9430142;83,9430142
102289;TSMv2 - Pazar İndeksi;1;100;92,86994735;92,86994735
102385;TSMv2 - Pazar İndeksi;1;100;88,32840265;88,32840265
100540;TSMv2 - Pazar İndeksi;1;100;100,2305913;100,2305913
100674;TSMv2 - Pazar İndeksi;1;100;84,37176153;84,37176153
102264;TSMv2 - Pazar İndeksi;1;100;96,00752536;96,00752536
101666;TSMv2 - Pazar İndeksi;1;100;92,17155177;92,17155177
102262;TSMv2 - Pazar İndeksi;1;100;89,51729548;89,51729548
100766;TSMv2 - Pazar İndeksi;1;100;89,98281493;89,98281493
100357;TSMv2 - Pazar İndeksi;1;100;98,23554131;98,23554131
100138;TSMv2 - Pazar İndeksi;1;100;99,32563037;99,32563037
102366;TSMv2 - Pazar İndeksi;1;100;62,62607472;62,62607472
101329;TSMv2 - Pazar İndeksi;1;100;87,93704451;87,93704451
100579;TSMv2 - Pazar İndeksi;1;100;87,32459757;87,32459757
100650;TSMv2 - Pazar İndeksi;1;100;94,67772057;94,67772057
100686;TSMv2 - Pazar İndeksi;1;100;82,68634625;82,68634625
101924;TSMv2 - Pazar İndeksi;1;100;90,09092957;90,09092957
102367;TSMv2 - Pazar İndeksi;1;100;79,26663106;79,26663106
101020;TSMv2 - Pazar İndeksi;1;100;71,30495071;71,30495071
101279;TSMv2 - Pazar İndeksi;1;100;103,5669245;103,5669245
100422;TSMv2 - Pazar İndeksi;1;100;89,83742666;89,83742666
102392;TSMv2 - Pazar İndeksi;1;100;82,13062933;82,13062933
101909;TSMv2 - Pazar İndeksi;1;100;96,21360484;96,21360484
101817;TSMv2 - Pazar İndeksi;1;100;89,21279399;89,21279399
102263;TSMv2 - Pazar İndeksi;1;100;85,23057167;85,23057167
101661;TSMv2 - Pazar İndeksi;1;100;72,96839586;72,96839586
100675;TSMv2 - Pazar İndeksi;1;100;90,25154484;90,25154484
100292;TSMv2 - Pazar İndeksi;1;100;104,8147445;104,8147445
100514;TSMv2 - Pazar İndeksi;1;100;195,040946;195,040946
100577;TSMv2 - Pazar İndeksi;1;100;169,3496997;169,3496997
100265;TSMv2 - Pazar İndeksi;1;100;136,293413;136,293413
100248;TSMv2 - Pazar İndeksi;1;100;164,7202871;164,7202871
100592;TSMv2 - Pazar İndeksi;1;100;136,2203382;136,2203382
100527;TSMv2 - Pazar İndeksi;1;100;132,5018366;132,5018366
102254;TSMv2 - Pazar İndeksi;1;100;144,7621428;144,7621428
101696;TSMv2 - Pazar İndeksi;1;100;154,9187345;154,9187345
102128;TSMv2 - Pazar İndeksi;1;100;107,0343821;107,0343821
100799;TSMv2 - Pazar İndeksi;1;100;99,95863693;99,95863693
100195;TSMv2 - Pazar İndeksi;1;100;86,6660484;86,6660484
100102;TSMv2 - Pazar İndeksi;1;100;61,04873008;61,04873008
100797;TSMv2 - Pazar İndeksi;1;100;105,8357039;105,8357039
100341;TSMv2 - Pazar İndeksi;1;100;97,5540541;97,5540541
100166;TSMv2 - Pazar İndeksi;1;100;104,5650002;104,5650002
100669;TSMv2 - Pazar İndeksi;1;100;100,1348786;100,1348786
100121;TSMv2 - Pazar İndeksi;1;100;99,81244284;99,81244284
