Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100103;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,84;98,95
100122;TSMv2 - Medikal Sınav Başarısı;1;94,83;98;103,35
100196;TSMv2 - Medikal Sınav Başarısı;1;94,83;95,92;101,15
100240;TSMv2 - Medikal Sınav Başarısı;1;94,83;98;103,35
100247;TSMv2 - Medikal Sınav Başarısı;1;94,83;87,92;92,71
100250;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100272;TSMv2 - Medikal Sınav Başarısı;1;94,83;95,84;101,06
100293;TSMv2 - Medikal Sınav Başarısı;1;94,83;97,92;103,26
100324;TSMv2 - Medikal Sınav Başarısı;1;94,83;91,92;96,93
100329;TSMv2 - Medikal Sınav Başarısı;1;94,83;98;103,35
100332;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100336;TSMv2 - Medikal Sınav Başarısı;1;94,83;98;103,35
100342;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100356;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,84;98,95
100358;TSMv2 - Medikal Sınav Başarısı;1;94,83;89,75;94,65
100360;TSMv2 - Medikal Sınav Başarısı;1;94,83;95,92;101,15
100361;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100438;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,84;98,95
100444;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,92;99,04
100449;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,84;98,95
100457;TSMv2 - Medikal Sınav Başarısı;1;94,83;83,67;88,23
100462;TSMv2 - Medikal Sınav Başarısı;1;94,83;97,92;103,26
100466;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100467;TSMv2 - Medikal Sınav Başarısı;1;94,83;97,92;103,26
100496;TSMv2 - Medikal Sınav Başarısı;1;94,83;95,84;101,06
100506;TSMv2 - Medikal Sınav Başarısı;1;94,83;95,84;101,06
100538;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,84;98,95
100574;TSMv2 - Medikal Sınav Başarısı;1;94,83;95,84;101,06
100581;TSMv2 - Medikal Sınav Başarısı;1;94,83;89,84;94,74
100626;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100662;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100671;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100707;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,92;99,04
100711;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100720;TSMv2 - Medikal Sınav Başarısı;1;94,83;91,75;96,76
100727;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
100864;TSMv2 - Medikal Sınav Başarısı;1;94,83;85,67;90,34
100947;TSMv2 - Medikal Sınav Başarısı;1;94,83;97,92;103,26
100948;TSMv2 - Medikal Sınav Başarısı;1;94,83;95,92;101,15
101460;TSMv2 - Medikal Sınav Başarısı;1;94,83;97,92;103,26
101463;TSMv2 - Medikal Sınav Başarısı;1;94,83;100;105,46
101558;TSMv2 - Medikal Sınav Başarısı;1;94,83;85,59;90,25
101655;TSMv2 - Medikal Sınav Başarısı;1;94,83;91,84;96,85
101659;TSMv2 - Medikal Sınav Başarısı;1;94,83;93,84;98,95
