Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100103;TSMv2 - Medikal Sınav Başarısı;1;100;93,84;93,84
100122;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100196;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
100240;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100247;TSMv2 - Medikal Sınav Başarısı;1;100;87,92;87,92
100250;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100272;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
100293;TSMv2 - Medikal Sınav Başarısı;1;100;97,92;97,92
100324;TSMv2 - Medikal Sınav Başarısı;1;100;91,92;91,92
100329;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100332;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100336;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100342;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100356;TSMv2 - Medikal Sınav Başarısı;1;100;93,84;93,84
100358;TSMv2 - Medikal Sınav Başarısı;1;100;89,75;89,75
100360;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
100361;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100438;TSMv2 - Medikal Sınav Başarısı;1;100;93,84;93,84
100444;TSMv2 - Medikal Sınav Başarısı;1;100;93,92;93,92
100449;TSMv2 - Medikal Sınav Başarısı;1;100;93,84;93,84
100457;TSMv2 - Medikal Sınav Başarısı;1;100;83,67;83,67
100462;TSMv2 - Medikal Sınav Başarısı;1;100;97,92;97,92
100466;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100467;TSMv2 - Medikal Sınav Başarısı;1;100;97,92;97,92
100496;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
100506;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
100538;TSMv2 - Medikal Sınav Başarısı;1;100;93,84;93,84
100574;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
100581;TSMv2 - Medikal Sınav Başarısı;1;100;89,84;89,84
100626;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100662;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100671;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100707;TSMv2 - Medikal Sınav Başarısı;1;100;93,92;93,92
100711;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100720;TSMv2 - Medikal Sınav Başarısı;1;100;91,75;91,75
100727;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100864;TSMv2 - Medikal Sınav Başarısı;1;100;85,67;85,67
100947;TSMv2 - Medikal Sınav Başarısı;1;100;97,92;97,92
100948;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
101460;TSMv2 - Medikal Sınav Başarısı;1;100;97,92;97,92
101463;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101558;TSMv2 - Medikal Sınav Başarısı;1;100;85,59;85,59
101655;TSMv2 - Medikal Sınav Başarısı;1;100;91,84;91,84
101659;TSMv2 - Medikal Sınav Başarısı;1;100;93,84;93,84
101692;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
101798;TSMv2 - Medikal Sınav Başarısı;1;100;87,84;87,84
101804;TSMv2 - Medikal Sınav Başarısı;1;100;93,92;93,92
101806;TSMv2 - Medikal Sınav Başarısı;1;100;91,75;91,75
101912;TSMv2 - Medikal Sınav Başarısı;1;100;93,92;93,92
101915;TSMv2 - Medikal Sınav Başarısı;1;100;89,75;89,75
101917;TSMv2 - Medikal Sınav Başarısı;1;100;81,34;81,34
101919;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
101920;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
101929;TSMv2 - Medikal Sınav Başarısı;1;100;89,84;89,84
102000;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
102123;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102124;TSMv2 - Medikal Sınav Başarısı;1;100;91,84;91,84
102135;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102138;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102265;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102268;TSMv2 - Medikal Sınav Başarısı;1;100;87,84;87,84
102274;TSMv2 - Medikal Sınav Başarısı;1;100;89,75;89,75
102284;TSMv2 - Medikal Sınav Başarısı;1;100;91,84;91,84
102287;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102290;TSMv2 - Medikal Sınav Başarısı;1;100;91,75;91,75
102291;TSMv2 - Medikal Sınav Başarısı;1;100;93,92;93,92
102354;TSMv2 - Medikal Sınav Başarısı;1;100;91,92;91,92
102359;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102369;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102376;TSMv2 - Medikal Sınav Başarısı;1;100;93,84;93,84
102387;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
102400;TSMv2 - Medikal Sınav Başarısı;1;100;91,75;91,75
100138;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100204;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100242;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100253;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100298;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
100322;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100328;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100333;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100335;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100355;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
100357;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100379;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100392;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100422;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100460;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100461;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100465;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100502;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100509;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100515;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100522;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100525;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100528;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100529;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100540;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100579;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100584;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100650;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100658;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100661;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100668;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100674;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100675;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100686;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100718;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100766;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100862;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100950;TSMv2 - Medikal Sınav Başarısı;1;100;80;80
101020;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
