Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç
100121;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1713037,527;1772784,09;114,5385175
102354;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1206319,233;1162038,69;96,3292848
100122;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1688592,176;1714627,93;101,5418616
101937;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;950334,7027;818658;86,0474691
100650;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1702367,277;1771616,23;99,29553473
102355;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1492437,873;1806184,62;120,8865707
100523;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1200759,437;1348531,83;99,42765544
100594;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1134789,216;1798374,79;140,3030174
101811;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1579712,982;1746595,88;110,4400065
101686;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1329478,07;1535486,57;118,0973482
100445;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2978321,444;2515700,72;86,91580704
102356;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2921147,264;2457710,77;86,57423894
101696;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1883228,612;2080406,48;122,2665741
102138;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1211310,564;1023649,72;84,50761931
102128;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1823384,948;1866041,71;113,2675667
100589;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1532629,867;1695610,16;97,94690808
100528;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1986148,852;2492809,68;119,7541742
102357;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1548726,443;1510147,08;93,03746422
102538;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;405820,2072;327976,975;83,16125777
100342;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1366777,495;1099415,55;80,43851719
100540;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1959733,98;2036163;99,13539693
100333;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1968144,918;2268625,24;109,9813428
100571;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;3070035,668;2901202,83;97,24024238
100584;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1596458,279;1706528,31;101,9927391
101549;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1005081,133;826606,325;168,049983
100509;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2352207,706;2502459,83;101,5090534
102358;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1318602,954;1535969,28;103,1265505
100294;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1567171,266;1575789,37;100,4370355
102145;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1486989,199;1550029,22;92,28562907
100401;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1133494,025;1025535,99;92,51389634
102528;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;147801,6653;117077,955;80,99740444
102284;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1386852,72;1151811,3;83,05217154
100312;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1275448,581;1436401,83;99,70455521
101568;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2429191,271;3979557,9;156,3098863
102546;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;416870,7328;347735,685;85,83397325
100324;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1219946,843;1128366,44;92,49308248
101009;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1843548,471;1771868,14;98,27705638
101543;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2162909,261;2073207,73;98,63155513
100671;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1524606,176;1453900,82;95,36238558
100380;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1265786,877;1581057,98;110,5832153
101274;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1298755,316;1392246,22;94,90535429
102255;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1445380,069;1449783,1;100,1920241
101459;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2543182,7;2733096,705;110,5831099
102244;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;889334,6526;880968,34;98,94805588
101938;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1083495,581;761833,77;70,23365255
102533;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;264532,406;211205,64;82,15575494
100443;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1316191,177;1761073,92;118,456969
100329;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1605253,181;1906023,68;118,7366393
101460;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1019988,288;1011184,63;99,13688637
100340;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2202036,876;2200800,135;102,8412574
102359;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1549275,869;1790362,2;115,5612268
101673;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1433152,939;1571748,47;97,0940268
101800;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1272353,261;1386561,12;96,47911621
100932;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1221728,942;1547144,69;112,1135423
100711;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1287749,755;1195581,95;92,84272391
102526;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;288583,5009;253477,14;90,38131631
102360;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1351615,643;1564781,07;110,4622043
100242;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1498507,36;1843076,49;117,3539765
100332;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1380936,998;1358621,67;98,38404443
100684;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1411079,832;1449575,065;105,0423494
100567;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2661899,112;3023418,61;116,8740388
101821;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1302167,981;1179486,44;90,47698484
101678;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2916311,202;3064434,155;108,1254156
102364;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;878733,8093;920578,01;104,6442669
101823;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1331056,202;1208433,75;90,68566287
102362;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1153355,842;1541879,31;124,844426
102365;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1451811,037;1622987,94;104,396826
