Çalışan Sicil No;Gösterge Adı;Periyod;Ürün;Planlanan;Gerçekleşen;Sonuç 
100650;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;63523,61904;20733,5;38,75090782
100528;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;67784,70295;93420,96;163,6278113
102357;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;59404,8793;42014,2;83,96890182
100540;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;142774,2242;158773,98;132,0304232
100333;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;52313,2454;30306,71;68,78149678
100584;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;54706,39274;81411,82;176,682639
100509;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;73307,36177;36327,31;58,8342393
101568;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;52045,80124;37865,34;86,37750486
102360;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;52934,7386;54269,07;121,718362
100242;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;53291,12995;26819,94;59,75130099
102260;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;60422,62131;99463,68;195,4381999
101810;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;66675,41644;42063,47;74,90035093
102366;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;165121,1623;311264,84;223,8060498
102367;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;54779,352;33486,06;72,57577016
101909;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;67683,82895;22255,04;39,03803532
102261;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;50107,5176;31095,83;73,67900603
101329;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;35272,01837;12698,58;42,74342707
100328;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;71708,92874;89155,93;147,6119416
100658;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;78046,22968;105326,07;160,2243229
100668;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;61075,24428;77460,6;150,5775188
102289;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;75193,5179;70930,85;111,9951597
101562;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;69862,93815;97570,52;165,8121177
101914;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;49539,63882;25030,43;59,98739009
101264;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;92741,32265;56569,01;72,41854345
100461;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;54271,19996;53793,24;117,6800303
101547;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;65236,25663;23744,02;43,21253155
100460;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;39381,24763;43799;132,0441657
