Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
102354;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;130180,7337;143399,88;117,7198219
100122;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;144633,9414;157921,92;116,6862594
102138;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;102994,0168;94344,4;97,89300362
100342;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;79592,7496;48198,14;64,71490147
101549;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;20391,9226;16788,8;87,98507427
102284;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;76686,62878;31604,28;44,04268407
100324;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;124554,0576;97029,26;83,25155662
100671;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;96036,63789;83419,14;92,82742087
100329;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;158534,5787;219122,56;147,7102434
101460;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;57267,91021;47549,82;88,73297965
102359;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;110041,1535;120043,7;116,58207
100711;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;80707,38661;72023,42;95,36916466
100332;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;102419,7275;111707,7;116,5593234
100250;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;65580,95528;62264,48;101,4635727
102369;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;141664,6221;215961,98;162,9158793
102135;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;80319,88459;93049,5;123,8050875
102000;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;132270,4175;153093,82;123,6922413
100662;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;85505,11862;62097,74;77,61241627
101912;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;97273,85163;68628,9;75,39776096
101558;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;101096,2946;126577,7;133,8041198
100358;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;82097,75819;60931,36;79,31532299
100103;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;66852,4222;69315,24;110,8049361
102376;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;127697,6323;142070,14;118,8960665
101806;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;75927,21128;43117,22;60,68772065
102123;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;111926,3138;168994,36;161,3568969
101915;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;94818,89487;66770,04;75,25481122
102290;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;181117,6246;366847,88;216,4575923
100467;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;109789,1439;134456,26;130,878754
101463;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;67722,3339;85881,98;135,5244506
100462;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;120720,7976;121587,22;107,6349606
100272;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;68319,85444;64167,98;100,3734748
100496;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;79984,50173;72208,2;96,47797933
100360;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;149918,2754;174549,38;124,4260334
101917;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;83501,91539;62022,44;79,37796003
102274;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;94830,01623;103180,66;116,2786551
100727;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;96080,2155;188176,12;209,3042585
101804;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;93991,56771;113429,54;128,9688422
100538;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;165693,3575;296641,86;191,3263827
101919;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;57609,58767;72342,02;134,1971795
100356;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;69094,04721;81833,32;126,5718308
101692;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;69181,98394;41227,28;63,6852993
102291;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;108362,0091;96087,66;94,76284535
100466;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;191379,4746;241247,5;134,7146996
100487;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;9799,382779;10935,18;119,2544895
100574;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;135148,6221;128546,58;101,6474359
102124;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;76175,11018;99302,98;139,3146262
100864;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;36579,40033;19548,08;57,11037998
102387;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;145562,2937;173272,06;127,2117339
101798;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;48156,54484;29957,74;66,4815676
100720;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;69130,28987;70110,46;108,3831982
100581;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;91169,07888;76439,1;89,6015498
100444;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;86934,78274;94739,46;116,462164
100247;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;104572,0198;125718,22;128,4784387
101655;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;41179,37746;50379,54;130,7440532
100361;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;181734,7245;172693,98;101,5516082
102265;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;142601,9126;153245,34;114,8443014
101659;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;51540,96593;40563,26;84,10616315
102287;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;98675,1668;88034,22;95,34351853
101920;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;84297,44947;105655,72;133,9448754
100947;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;86168,3096;96955,44;120,2464135
101929;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;126991,8881;123784,24;104,1686169
100293;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;61218,13106;33249,66;58,04364342
100336;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;128715,5744;131485,18;109,167466
100457;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;78364,62822;22820,7;31,12120524
102400;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;91577,4059;54908,98;64,07705785
102268;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;100840,5505;89487,42;94,83623474
100707;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;83923,8168;86914,52;110,6763002
100626;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;134786,5971;169786,76;134,6184654
100948;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;67787,64748;73693;116,1778133
100240;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;72751,29554;97298,08;142,9259417
100438;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;111291,165;139743,66;134,1896278
100506;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;133731,9641;138834,16;110,9452306
100449;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;133591,4731;102034,68;81,62375902
100196;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DRAXOL;103733,2834;109726,5;113,0422844
102354;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;201448,4169;184014,02;85,72149212
100122;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;229830,4781;192663,15;78,66720205
102138;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;213862,5018;207824,45;91,19366388
100342;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;251506,1408;213487,9;79,65762243
101549;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;61001,46854;70701,63;108,7656611
102284;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;263212,6381;153266,73;54,64416846
100324;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;219693,5056;242109,96;103,4184692
100671;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;MODET;207775,7448;183760,15;82,99638119
