Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç
100102;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1889992,005;1782962,45;94,54
100121;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1713037,527;1772784,09;114,5385175
100166;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1411304,986;1319985,29;103,516792
100265;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1461807,936;1477781,45;111,8877356
100288;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1577514,531;1404385,81;98,53162687
100292;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1347596,078;1586243,64;117,65
100315;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1219313,318;812108,89;73,71596181
100321;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1046040,296;1189702,05;121,880111
100341;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1718158,688;1478837,15;95,26199418
100487;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1602590,56;1482150,53;194,7041453
100514;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1731982,094;2130220,42;136,1268312
100527;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1599083,382;1642022,59;113,6503053
100577;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1898045,031;2029043,29;118,3170657
100592;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1632161,989;1660052,95;112,5696383
100626;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1280595,932;1358054,25;105,3395877
100669;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1359544,653;1110137,21;90,37447199
100799;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1569579,78;1344852,81;94,83179009
101553;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1321546,584;874713,13;73,25643137
101696;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1883228,612;2080406,48;122,2665741
101824;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1397873,92;896255,72;70,96211113
102128;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1823384,948;1866041,71;113,2675667
102254;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1672349,256;1748920,03;115,7458849
102285;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1725691,225;1535578,86;98,48534783
102535;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;234649,311;284038,82;133,9741486
102536;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;272096,8046;255966,91;104,1173182
102539;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;172989,5276;173899,33;111,2604175
102540;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;205462,1391;126187,62;67,97473657
102642;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1029107,994;1061140,84;102,4232826
102628;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1418182,301;1391520,85;97,46400867
102672;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;950334,7027;818658;86,0474691
102630;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1702367,277;1771616,23;99,29553473
102670;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1492437,873;1806184,62;120,8865707
102671;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1200759,437;1348531,83;99,42765544
102543;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1702367,277;1771616,23;99,29553473
102375;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1492437,873;1806184,62;120,8865707
102377;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1200759,437;1348531,83;99,42765544
102362;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1702367,277;1771616,23;99,29553473
102365;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1492437,873;1806184,62;120,8865707
102371;TSM2022 - Toplam Kota Realizasyonu (Net TL) ;1;1200759,437;1348531,83;99,42765544
