Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100487;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;DRAXOL;9799,382779;10935,18;119,2544895
100626;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;DRAXOL;134786,5971;169786,76;134,6184654
100121;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;420479,3998;382500,8;99,60681814
101696;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;705412,2567;874394,03;135,7268048
102128;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;430916,7782;409809,19;104,1333241
102254;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;725024,4057;779411,83;117,7106642
100292;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;583249,3271;593850,97;111,4871123
102536;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;95176,31046;81677,52;93,96694778
100527;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;690267,2411;712416,01;113,0102539
100799;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;597797,0013;422288,78;77,34945417
100102;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;458983,3917;447572,85;106,7746622
100265;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;587469,2097;566509,55;105,5901894
100514;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;702725,5993;748878,03;116,688151
100315;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;417625,1231;348880,79;91,47278111
101553;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;286878,9642;272322,75;103,9409455
102540;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;63813,79383;43841,61;75,22693586
100487;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;494136,9067;483577,87;107,1570055
102285;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;645593,3407;333535,47;56,56977182
102539;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;34602,89713;32630,97;103,2568722
100592;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;506367,3603;432428;93,5081675
101824;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;590981,2788;367495,81;68,08949472
100669;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;609239,8647;480291,71;86,32134937
100288;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;502538,5638;431986,45;94,12438971
100577;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;736546,2993;921146,59;136,9399421
102535;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;77578,33645;70667,07;99,7419984
100166;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;471022,7291;533471,42;124,0140059
100341;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;704774,9504;677498,56;105,2590291
100487;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;MODET;40267,52232;47149,32;109,8811493
100626;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;MODET;249164,3785;341818,46;128,7396212
100121;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;683275,4868;716592,2;121,9031046
101696;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;457472,5088;536084,11;136,2092067
102128;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;909782,5037;879408,54;112,3547992
102254;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;184113,5972;144106,79;90,97815198
100292;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;183043,1836;283788,27;180,210217
102536;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;69088,68253;62481,96;105,1202205
100527;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;194910,2829;209559,89;124,9717754
100799;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;389238,1276;494657,87;147,7161834
100102;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;909942,7174;774086,94;98,88131117
100265;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;275250,0522;375234,29;158,457806
100514;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;212241,8855;384530,79;210,5903929
100315;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;185977,9775;108000,73;67,49998873
101553;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;718308,4177;318484,12;51,5365517
102540;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;41740,70865;10138,32;28,232199
100487;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;361404,7059;413516,28;132,9956201
102285;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;293291,9708;418538,69;165,8723381
102539;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;94391,27595;101910,92;125,495281
100592;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;276147,3914;330186,46;138,9814521
101824;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;231291,7429;157813,03;79,3087782
100669;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;147366,8318;119087,61;93,93022491
100288;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;484819,7456;433397,58;103,9069776
100577;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;371529,791;449277,26;140,5592153
102535;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;35704,11077;42211,6;137,4206893
100166;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;336265,2588;169166,92;58,47523441
100341;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;319094,027;205765,97;74,95375705
100121;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;282593,7724;213535,36;83,6363373
101696;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;404201,6957;360211,88;98,63877988
102128;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;325871,3303;469603,59;159,5045388
102254;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;527587,1973;625385,2;131,2022074
100292;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;386629,1803;473281,71;135,4917598
102536;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;61629,2374;64756,58;116,3013889
100527;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;414710,085;354390,55;94,58566611
