Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100102;TSM2022 - Gelişim İndeksi (Net TL);1;108,1699696;107,503083;93,67980333
100121;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;98,00796199;104,7663898
100166;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;87,17726534;93,19342242
100265;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;96,51405405;103,0027579
100288;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;85,67396149;91,74468752
100292;TSM2022 - Gelişim İndeksi (Net TL);1;108,1699696;101,1122507;102,302246
100315;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;91,21068083;98,06665902
100321;TSM2022 - Gelişim İndeksi (Net TL);1;108,1699696;102,6646311;95,67001706
100341;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;96,09305458;102,1874097
100487;TSM2022 - Gelişim İndeksi (Net TL);1;108,1455904;94,59152031;92,42176637
100514;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;103,2408765;110,2644256
100527;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;117,3875011;124,8864416
100577;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;95,96466768;102,1517657
100592;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;107,8524637;114,8191536
100626;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;116,5362662;106,8692107
100669;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;97,04795934;103,2379336
100799;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;93,55239188;99,93633114
101553;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;85,93514912;91,42489575
101696;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;92,68568398;99,01258286
101824;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;82,36144062;87,59867932
102128;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;86,30138039;92,11911177
102254;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;99,72803033;106,4726379
102285;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;107,0393233;114,4586447
102535;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;155,1308586;141,7038374
102536;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;116,6957809;106,8431483
102539;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;107,1733944;97,94947939
102540;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;101,6837298;93,1959385
102642;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;118,8811089;109,0450059
102628;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;145,6477199;133,3955347
102672;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;112,3483393;103,6736793
102630;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;112,5059165;103,3885208
102670;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;112,3483393;103,6736793
102671;TSM2022 - Gelişim İndeksi (Net TL);1;109,4012669;112,5059165;103,3885208
102543;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;96,51405405;103,0027579
102375;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;85,67396149;91,74468752
102377;TSM2022 - Gelişim İndeksi (Net TL);1;108,1699696;101,1122507;102,302246
102362;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;91,21068083;98,06665902
102365;TSM2022 - Gelişim İndeksi (Net TL);1;108,1699696;102,6646311;95,67001706
102371;TSM2022 - Gelişim İndeksi (Net TL);1;93,7431165;96,09305458;102,1874097
;;;;;
