Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100102;TSM2022 - Pazar İndeksi (Net TL);1;100;61,04873008;61,04873008
100121;TSM2022 - Pazar İndeksi (Net TL);1;100;99,81244284;99,81244284
100166;TSM2022 - Pazar İndeksi (Net TL);1;100;104,5650002;104,5650002
100265;TSM2022 - Pazar İndeksi (Net TL);1;100;136,293413;136,293413
100288;TSM2022 - Pazar İndeksi (Net TL);1;100;92,36081236;92,36081236
100292;TSM2022 - Pazar İndeksi (Net TL);1;100;104,8147445;104,8147445
100315;TSM2022 - Pazar İndeksi (Net TL);1;100;75,65239157;75,65239157
100321;TSM2022 - Pazar İndeksi (Net TL);1;100;226,7283716;226,7283716
100341;TSM2022 - Pazar İndeksi (Net TL);1;100;97,5540541;97,5540541
100487;TSM2022 - Pazar İndeksi (Net TL);1;100;91,77160882;91,77160882
100514;TSM2022 - Pazar İndeksi (Net TL);1;100;195,040946;195,040946
100527;TSM2022 - Pazar İndeksi (Net TL);1;100;132,5018366;132,5018366
100577;TSM2022 - Pazar İndeksi (Net TL);1;100;169,3496997;169,3496997
100592;TSM2022 - Pazar İndeksi (Net TL);1;100;136,2203382;136,2203382
100626;TSM2022 - Pazar İndeksi (Net TL);1;100;110,4673874;110,4673874
100669;TSM2022 - Pazar İndeksi (Net TL);1;100;100,1348786;100,1348786
100799;TSM2022 - Pazar İndeksi (Net TL);1;100;99,95863693;99,95863693
101553;TSM2022 - Pazar İndeksi (Net TL);1;100;60,33090743;60,33090743
101696;TSM2022 - Pazar İndeksi (Net TL);1;100;154,9187345;154,9187345
101824;TSM2022 - Pazar İndeksi (Net TL);1;100;62,43680159;62,43680159
102128;TSM2022 - Pazar İndeksi (Net TL);1;100;107,0343821;107,0343821
102254;TSM2022 - Pazar İndeksi (Net TL);1;100;144,7621428;144,7621428
102285;TSM2022 - Pazar İndeksi (Net TL);1;100;100,4022203;100,4022203
102535;TSM2022 - Pazar İndeksi (Net TL);1;100;172,2598475;172,2598475
102536;TSM2022 - Pazar İndeksi (Net TL);1;100;108,1728058;108,1728058
102539;TSM2022 - Pazar İndeksi (Net TL);1;100;74,52461107;74,52461107
102540;TSM2022 - Pazar İndeksi (Net TL);1;100;50,86320055;50,86320055
102642;TSM2022 - Pazar İndeksi (Net TL);1;100;190,1996572;190,1996572
102628;TSM2022 - Pazar İndeksi (Net TL);1;100;139,1558855;139,1558855
102672;TSM2022 - Pazar İndeksi (Net TL);1;100;120,6964772;120,6964772
102630;TSM2022 - Pazar İndeksi (Net TL);1;100;158,5624269;158,5624269
102670;TSM2022 - Pazar İndeksi (Net TL);1;100;111,0457871;111,0457871
102671;TSM2022 - Pazar İndeksi (Net TL);1;100;125,5469996;125,5469996
102543;TSM2022 - Pazar İndeksi (Net TL);1;100;158,5624269;158,5624269
102375;TSM2022 - Pazar İndeksi (Net TL);1;100;111,0457871;111,0457871
102377;TSM2022 - Pazar İndeksi (Net TL);1;100;125,5469996;125,5469996
102362;TSM2022 - Pazar İndeksi (Net TL);1;100;158,5624269;158,5624269
102365;TSM2022 - Pazar İndeksi (Net TL);1;100;111,0457871;111,0457871
102371;TSM2022 - Pazar İndeksi (Net TL);1;100;125,5469996;125,5469996
