Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100102;TSM2022 - Medikal Sınav Başarısı;1;100;98;98
100121;TSM2022 - Medikal Sınav Başarısı;1;100;98;98
100166;TSM2022 - Medikal Sınav Başarısı;1;100;98;98
100265;TSM2022 - Medikal Sınav Başarısı;1;100;100;100
100288;TSM2022 - Medikal Sınav Başarısı;1;100;90;90
100292;TSM2022 - Medikal Sınav Başarısı;1;100;86;86
100315;TSM2022 - Medikal Sınav Başarısı;1;100;98;98
100321;TSM2022 - Medikal Sınav Başarısı;1;100;88;88
100341;TSM2022 - Medikal Sınav Başarısı;1;100;92;92
100487;TSM2022 - Medikal Sınav Başarısı;1;100;84;84
100514;TSM2022 - Medikal Sınav Başarısı;1;100;94;94
100527;TSM2022 - Medikal Sınav Başarısı;1;100;98;98
100577;TSM2022 - Medikal Sınav Başarısı;1;100;86;86
100592;TSM2022 - Medikal Sınav Başarısı;1;100;92;92
100626;TSM2022 - Medikal Sınav Başarısı;1;100;100;100
100669;TSM2022 - Medikal Sınav Başarısı;1;100;92;92
100799;TSM2022 - Medikal Sınav Başarısı;1;100;94;94
101553;TSM2022 - Medikal Sınav Başarısı;1;100;92;92
101696;TSM2022 - Medikal Sınav Başarısı;1;100;90;90
101824;TSM2022 - Medikal Sınav Başarısı;1;100;92;92
102128;TSM2022 - Medikal Sınav Başarısı;1;100;94;94
102254;TSM2022 - Medikal Sınav Başarısı;1;100;94;94
102285;TSM2022 - Medikal Sınav Başarısı;1;100;92;92
102535;TSM2022 - Medikal Sınav Başarısı;1;100;96;96
102536;TSM2022 - Medikal Sınav Başarısı;1;100;100;100
102539;TSM2022 - Medikal Sınav Başarısı;1;100;96;96
102540;TSM2022 - Medikal Sınav Başarısı;1;100;96;96
102642;TSM2022 - Medikal Sınav Başarısı;1;100;93,84;93,84
102628;TSM2022 - Medikal Sınav Başarısı;1;100;98;98
102672;TSM2022 - Medikal Sınav Başarısı;1;100;95,92;95,92
102630;TSM2022 - Medikal Sınav Başarısı;1;100;98;98
102670;TSM2022 - Medikal Sınav Başarısı;1;100;87,92;87,92
102671;TSM2022 - Medikal Sınav Başarısı;1;100;100;100
102543;TSM2022 - Medikal Sınav Başarısı;1;100;87,92;87,92
102375;TSM2022 - Medikal Sınav Başarısı;1;100;100;100
102377;TSM2022 - Medikal Sınav Başarısı;1;100;87,92;87,92
102362;TSM2022 - Medikal Sınav Başarısı;1;100;100;100
102365;TSM2022 - Medikal Sınav Başarısı;1;100;87,92;87,92
102371;TSM2022 - Medikal Sınav Başarısı;1;100;100;100
